o_adminnm,Cheongnyangni,Dapshipri1,Dapshipri2,Hoegyi,Hwigeyong1,Hwigeyong2,Imoon1,Imoon2,Jangan1,Jangan2,Jegi,Jeonnong1,Jeonnong2,Yongshin,others
Cheongnyangni,42.2,3.3,2.2,4.4,4.3,3.8,2.4,1,1.3,3.9,11.4,8.6,2.7,8,0.5
Dapshipri1,3.9,39.4,17.2,0.7,1.3,1.5,1,0.1,6.2,4,4.3,7.3,6,5.3,1.8
Dapshipri2,2.4,19.8,33.9,1.3,0.9,1.1,2.7,0.1,6.9,6.2,6.5,4.4,8.5,4.9,0.4
Hoegyi,5,0.5,0.7,42,5.3,4,11.8,2.8,1.3,1.7,6.6,1.4,11.7,4.5,0.7
Hwigeyong1,7.4,3,1.1,5.3,17.1,18.5,9.7,4.3,9.1,1.3,7.4,7.3,1.9,4.8,1.8
Hwigeyong2,4.6,1.2,0.6,3.7,11.7,49.4,3.1,1.5,5.3,9.4,0.8,3.1,3,1.6,1
Imoon1,1.5,0.6,2.1,13.9,4.3,3.8,52.2,10.4,1.5,2.2,1.5,2.3,0.2,2.8,0.7
Imoon2,1.5,0.2,0.8,13.1,6.3,5.9,33.8,28.4,2.8,0.5,1.2,0.4,1.4,3.7,2.83107E-15
Jangan1,0.9,3,3.5,0.5,2.9,3,1.5,0.4,52.7,22.4,0.7,3.1,1.9,3.1,0.4
Jangan2,1.1,2.6,3,1.1,0.7,5.3,0.8,0.2,25.4,32.5,2,18.8,3.1,2.6,0.8
Jegi,9.1,1.7,2.4,2.5,1.7,0.7,1.7,1,0.8,1.8,53.4,2.8,2.3,17.2,0.9
Jeonnong1,6.4,8.3,3.3,0.8,1.3,1.6,1.4,0.2,4.3,8.1,3,41.8,17.1,2.1,0.3
Jeonnong2,3.9,6.9,6.3,3,2.8,2.2,0.2,0.9,4.6,5,2.3,21.4,34.8,5.5,0.2
Yongshin,4.6,4.2,2.1,3,0.9,0.9,2.6,0.5,3.5,2.5,16,2.2,2.7,53.5,0.8
