o_adminnm,Ahyun,Daeheung,Dohwa,Gongdeok,Hapjeong,Mangwon1,Mangwon2,Sangam,Seogang,Seogyo,Seongsan1,Seongsan2,Sinsoo,Yeomni,Yeonnam,Yonggang,others
Ahyun,33.9,4.1,4,25.1,1.6,0.9,0.9,1.4,2.2,5.7,0.9,4.9,2.3,4.7,2.1,5.3,0
Daeheung,2.7,36.8,3.4,5.3,2.9,1.6,1.4,1.2,5.5,12.2,1.7,2.8,4.8,8.5,3.4,5.8,0
Dohwa,2.6,4.7,45.9,8.4,1.1,0.6,0.8,3,2.7,3.7,0.9,3.2,3.6,3.1,0.6,14.3,0.8
Gongdeok,23.1,4.4,4.7,30.7,2.1,0.5,0.4,1.8,3.6,3.6,4.9,5.5,2.2,4.2,1.2,7.1,0
Hapjeong,3.1,3.5,1.5,7.6,28.2,7.8,7.6,3.6,6.6,14.6,4,5,0.9,2.2,2.3,1.1,0.4
Mangwon1,1,0.4,0.4,1.4,7.1,30.7,18.9,3.9,2.8,10.6,3.1,16.2,1.3,0.1,1.8,0.2,0.1
Mangwon2,0.2,0.7,0.7,0.7,5.2,26.6,37.4,4.3,1.2,8.6,3.9,4.5,1.2,0.6,1.7,2.5,0
Sangam,0.7,0.9,0.9,0.7,1.8,2.2,1.3,68.3,0.9,2.9,4.9,11.7,0.7,0.4,0.7,0.7,0.3
Seogang,3,3.7,0.5,3.2,4.8,1.2,0.8,1.5,52.8,10,2.1,2.5,10.3,0.5,1.4,1.5,0.2
Seogyo,3.1,5.4,0.5,1.7,6.1,5.1,2.7,2.3,9.8,37.7,5.4,5,4.6,3.1,5.2,2,0.3
Seongsan1,0.3,2.8,0.1,2.7,2.1,3.4,1.8,9,1.7,8.8,30.1,27.5,0.5,1.5,5.5,2.2,0
Seongsan2,2.4,1,0.5,2.4,1.7,2.3,1.8,10.3,1.3,4.6,12.4,54.3,1.3,1.1,2.2,0.4,0
Sinsoo,2.8,3.9,1.8,4.4,2.6,1.2,1.2,1.3,13.1,7.7,0.8,3.3,47.4,2.9,0.8,4.8,0
Yeomni,5.7,11.7,1.9,3.7,2,0,0.4,0.7,1.9,4.3,3.2,4.1,3.6,43.6,5.2,7.3,0.7
Yeonnam,1.7,3.2,0.3,1.1,3,2.8,1.7,1.8,3.1,13.6,9.2,8,1.2,4,45.1,0,0.2
Yonggang,0.5,3.7,5,3.9,1.7,0.3,1.1,0.9,0.9,1,1.8,0.2,3.5,6.4,0,69.1,0
