no,type,date,Value,inc3per,dec3per,incsub,decsub
1,pm10,2010-03-31,57.68678426,57.68678426,57.68678426,0,0
2,pm10,2010-06-30,51.9482506,53.50669812,50.43519476,1.558447518,-1.513055843
3,pm10,2010-09-30,28.79445954,30.54804213,27.14153977,1.753582586,-1.652919772
4,pm10,2010-12-31,57.45728618,62.78512796,52.58155622,5.327841776,-4.875729963
5,pm10,2011-03-31,59.41485823,66.87194638,52.78933199,7.457088153,-6.625526239
6,pm10,2011-06-30,57.50249249,66.66114875,49.60215515,9.158656261,-7.900337344
7,pm10,2011-09-30,27.95875741,33.38421849,23.41501917,5.425461084,-4.543738243
8,pm10,2011-12-31,42.19861111,51.89896896,34.31133248,9.700357851,-7.887278626
9,pm10,2012-03-31,51.54356074,65.29384063,40.68896282,13.75027989,-10.85459792
10,pm10,2012-06-30,46.52570037,60.7054862,35.65807525,14.17978583,-10.86762512
11,pm10,2012-09-30,22.3859185,30.08480254,16.65722574,7.698884039,-5.728692765
12,pm10,2012-12-31,35.07012379,48.5452532,25.3354036,13.47512941,-9.734720191
13,pm10,2013-03-31,47.98850909,68.42013928,33.65817476,20.43163019,-14.33033433
14,pm10,2013-06-30,48.86244517,71.75614805,33.27294751,22.89370288,-15.58949766
15,pm10,2013-09-30,32.84293791,49.67789042,21.71305105,16.83495251,-11.12988686
16,pm10,2013-12-31,42.13455616,65.64426561,27.04456827,23.50970945,-15.08998789
17,pm10,2014-03-31,59.01351337,94.6993649,36.7752705,35.68585153,-22.23824287
18,pm10,2014-06-30,52.48452381,86.74892091,31.75400006,34.2643971,-20.73052375
19,pm10,2014-09-30,32.4812349,55.29712816,19.07930223,22.81589326,-13.40193267
20,pm10,2014-12-31,39.68400571,69.58614422,22.63123394,29.90213851,-17.05277177
21,pm10,2015-03-31,67.31653727,121.5811542,37.27153454,54.26461697,-30.04500273
22,pm10,2015-06-30,41.68695055,77.55000782,22.40879008,35.86305727,-19.27816047
23,pm10,2015-09-30,29.83083719,57.15896883,15.56849022,27.32813164,-14.26234697
24,pm10,2015-12-31,39.72618986,78.40307245,20.1289326,38.67688259,-19.59725726
