code,gu,subdis,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80-84,age85ov
1103072,Yongsan,Wonhyo-ro1,580,352,417,705,1250,1271,1107,679,646,294,701,536,473,382,286,170,79,55
1103073,Yongsan,Hangang-ro,495,378,508,1091,1813,1641,1329,953,956,392,1144,910,740,595,465,289,180,125
1103074,Yongsan,Hannam,612,620,751,1296,2343,2157,1975,1449,1379,557,1439,1207,975,895,706,412,216,110
1104052,Seongdong,Wangshipni2,764,990,1153,1116,1503,1636,1775,1548,1403,792,1355,1068,912,693,523,309,156,100
1104054,Seongdong,Majangdong,1014,1377,1519,1751,2130,1972,2078,1990,1923,1112,1842,1429,1198,956,708,466,209,144
1104055,Seongdong,Sageun,236,378,1078,3000,2568,822,666,567,579,258,563,473,458,445,323,157,93,44
1104056,Seongdong,Hengdang1,679,824,1059,1341,1722,1532,1553,1343,1248,682,1325,967,806,706,518,344,142,96
1104057,Seongdong,Hengdang2,1380,1518,1346,1306,1749,2295,2739,2192,1892,1484,1861,1332,1054,899,676,391,217,137
1104058,Seongdong,Eungbong,936,1077,945,806,1111,1473,1910,1647,1296,887,1092,916,774,715,480,296,153,84
1104059,Seongdong,Gumho1-ga,722,848,880,896,1171,1362,1437,1349,1175,683,1230,948,767,576,518,305,155,91
1104062,Seongdong,Gumbo4-ga,819,596,737,801,1240,1509,1587,1190,1042,641,1058,799,678,584,450,257,132,78
1104065,Seongdong,Sungsoo1-ga1,791,1057,1173,1051,1365,1567,1763,1635,1558,870,1283,930,676,540,412,257,119,59
1104066,Seongdong,Sungsoo1-ga2,859,734,919,1336,2090,2005,1760,1299,1326,667,1450,1008,815,633,428,235,108,82
1104067,Seongdong,Sungsoo2-ga1,848,995,1242,1264,1661,1682,1766,1705,1768,731,1632,1204,899,713,509,290,148,93
1104068,Seongdong,Sungsoo2-ga3,464,474,567,864,1503,1149,1044,797,895,391,1023,776,609,430,348,218,131,83
1104069,Seongdong,Songjeong,440,577,748,759,1140,1070,1115,1091,1120,485,1011,744,594,413,303,182,93,55
1104070,Seongdong,Yongdap,507,887,1026,967,1425,1302,1509,1433,1371,592,1318,950,828,706,558,296,122,67
1104071,Seongdong,Wangshipnidoseon,402,568,734,922,1140,958,940,977,967,408,976,749,632,612,463,327,206,162
1104072,Seongdong,Gumho2.3-ga,793,1126,1208,1196,1777,1864,1976,1708,1570,859,1564,1232,1082,985,747,452,227,129
1104073,Seongdong,Oksu,935,994,1175,1399,1955,2085,2223,1767,1695,964,1848,1502,1161,1035,784,513,273,165
1105053,Gwangjin,Hwayang,484,613,1963,5587,5275,2661,1687,1362,1151,455,1135,895,777,637,488,256,150,86
1105054,Gwangjin,Gunja,663,900,1308,2207,3046,2128,1714,1498,1576,612,1554,1177,922,785,578,291,131,104
1105055,Gwangjin,Junggok1,578,763,908,1160,1905,1693,1376,1237,1272,482,1283,915,787,602,413,201,100,76
1105056,Gwangjin,Junggok2,808,1234,1510,1573,2214,1990,1804,1807,1792,867,1685,1262,979,753,490,293,141,109
1105057,Gwangjin,Junggok3,660,1119,1315,1249,1713,1626,1524,1708,1598,657,1450,1027,856,658,458,266,140,86
1105058,Gwangjin,Junggok4,1024,1823,2488,1937,2551,2574,2416,2615,2698,1113,2482,1845,1507,1181,724,430,246,147
1105059,Gwangjin,Neungdong,413,351,512,904,1688,1367,889,722,659,311,739,596,505,375,276,147,91,61
1105060,Gwangjin,Gui1,787,1013,1278,1750,3171,2664,1994,1655,1654,657,1586,1131,941,736,566,286,157,84
1105061,Gwangjin,Gui2,1058,1465,1628,1468,2297,2177,2219,2098,1940,1147,1961,1619,1291,950,698,382,203,134
1105062,Gwangjin,Gui3,1350,1608,1855,2088,2885,2695,2487,2309,2420,1210,2504,1743,1265,866,665,404,221,140
1105063,Gwangjin,Gwangjang,1324,3423,2901,2003,1973,1931,3162,3992,3480,2261,2531,1483,902,772,705,444,274,166
1105064,Gwangjin,Jayang1,889,1140,1412,1809,2883,2502,1926,1773,1845,750,1788,1256,1015,843,617,357,212,127
1105065,Gwangjin,Jayang2,1245,1577,1821,1871,2712,2689,2513,2261,2214,1215,2321,1700,1208,916,579,382,186,130
1105066,Gwangjin,Jayang3,1526,1867,2014,2200,2695,2566,2783,2568,2650,1528,2839,1902,1171,795,559,387,216,131
1105067,Gwangjin,Jayang4,777,1058,1449,2189,3144,2394,2154,1902,2080,742,2244,1615,1334,994,714,422,205,99
1106071,Dongdaemoon,Hoegyi,279,440,750,1662,1768,985,766,635,607,314,565,491,422,394,322,184,101,63
1106072,Dongdaemoon,Hwigeyong1,521,722,923,1550,2269,1475,1361,1277,1163,508,1182,980,825,720,527,304,153,88
1106073,Dongdaemoon,Hwigeyong2,952,1338,1595,2275,2482,1922,1967,1848,1809,1073,1745,1412,1185,919,655,415,208,146
1106080,Dongdaemoon,Cheongnyangni,698,972,1208,1560,1901,1651,1687,1590,1682,802,2100,1745,1462,1392,1065,680,364,190
1106081,Dongdaemoon,Yongshin,1038,1133,1601,2085,2880,2519,2373,2112,2030,829,2304,1793,1580,1420,1085,644,292,182
1106082,Dongdaemoon,Jegi,931,1091,1389,2276,2885,2092,1957,1738,1779,874,1997,1603,1442,1301,997,653,368,208
1106083,Dongdaemoon,Jeonnong1,692,1292,1651,1817,2024,1833,1997,1901,1942,950,1931,1610,1399,1256,989,615,255,149
1106084,Dongdaemoon,Jeonnong2,643,1172,1375,1363,1398,1192,1590,1616,1624,886,1479,1196,917,880,661,363,198,82
1106086,Dongdaemoon,Dapshipri2,1443,1832,1941,1817,2250,2510,2819,2811,2442,1446,2475,1965,1551,1343,1021,583,266,182
1106087,Dongdaemoon,Jangan1,1503,1661,1842,2130,3224,3242,3124,2596,2680,1409,3049,2428,1927,1352,914,549,314,174
1106088,Dongdaemoon,Jangan2,1589,1672,1807,1933,2442,2793,2976,2498,2334,1469,2502,2096,1552,1186,767,450,224,184
1106089,Dongdaemoon,Imoon1,940,1335,2333,4749,4416,2703,2297,2105,2094,911,2096,1654,1385,1261,997,547,273,180
1106090,Dongdaemoon,Imoon2,1139,1327,1368,1567,1862,1919,2220,2002,1724,1152,1761,1408,1115,907,705,363,186,90
1106085,Dongdaemoon,Dapshipri1,713,1052,1160,1194,1627,1719,1765,1557,1481,744,1426,1145,1003,890,662,383,186,102
1107052,Jungnang,Myeonmok2,1104,1688,1772,1732,2326,2294,2366,2464,2476,1135,2194,1609,1273,1015,713,463,247,144
1107054,Jungnang,Myeonmok4,864,1240,1295,1621,2130,2028,2089,1801,1683,924,1777,1402,1285,1007,571,326,183,127
1107055,Jungnang,Myeonmok5,525,744,904,976,1160,1133,1173,1157,1160,531,1116,867,699,573,425,235,116,77
1107057,Jungnang,Myeonmok7,973,1235,1509,1759,2287,2161,2098,1973,2100,967,2091,1639,1326,1020,666,427,207,127
1107059,Jungnang,Sangbong1,953,1830,1992,1724,1794,1667,1904,2311,2430,1225,2252,1401,1037,785,691,362,204,122
1107060,Jungnang,Sangbong2,611,659,928,1205,1920,1759,1445,1249,1396,499,1537,1228,1020,815,514,283,176,105
1107061,Jungnang,Junghwa1,916,1172,1454,1435,1790,1856,1791,1596,1814,864,1808,1438,1080,746,554,291,179,95
1107062,Jungnang,Junghwa2,858,1348,1826,1974,2795,2408,2319,2474,2761,941,2738,2029,1617,1289,956,493,266,178
1107064,Jungnang,Mook1,1337,1891,2211,2143,2753,2675,2745,2650,2735,1374,2852,2273,1728,1314,915,543,298,175
1107065,Jungnang,Mook2,726,1013,1154,1254,1695,1625,1653,1534,1496,777,1635,1386,1081,872,575,298,165,100
1107068,Jungnang,Mangwoo,617,1137,1401,1347,1468,1296,1462,1687,1785,741,1570,1137,937,762,509,296,179,96
1107069,Jungnang,Shinnae1,1610,1787,2324,2078,2390,2323,2483,2513,2801,1427,2803,2037,1384,1067,831,494,317,235
1107070,Jungnang,Shinnae2,1198,1621,1699,1504,1944,2131,2239,2250,2174,1261,2080,1567,1036,815,641,454,250,152
1107071,Jungnang,Myeonmokbon,1197,1893,2125,2300,3467,3139,2948,2920,2869,1336,2884,2335,1791,1482,985,525,287,154
1107072,Jungnang,Myeonmok3.8,987,1488,1825,1977,2765,2354,2289,2345,2367,1013,2486,1867,1544,1220,859,479,243,174
1107073,Jungnang,Mangwoobon,1162,1623,2207,2137,2697,2476,2432,2490,2927,1123,2937,2179,1626,1287,953,591,323,254
1108058,Seongbuk,Donam1,599,894,952,1077,1280,1164,1267,1371,1330,702,1357,1035,829,678,531,297,172,96
1108059,Seongbuk,Donam2,1203,1634,1405,1296,1418,1606,2408,2307,1988,1497,1802,1282,992,826,628,423,223,113
1108060,Seongbuk,Anam,405,733,1728,3395,2866,1353,1240,1107,975,466,968,762,621,588,482,301,126,71
1108061,Seongbuk,Bomun,453,722,869,1088,1510,1262,1270,1233,1189,537,1083,880,736,637,489,302,173,85
1108062,Seongbuk,Jungneung1,1111,1059,1179,1284,1445,1780,2065,1625,1430,1017,1437,1169,954,804,588,396,212,154
1108063,Seongbuk,Jungneung2,1243,1302,1332,1378,1758,1981,2248,1803,1706,1148,1830,1508,1222,1002,759,488,220,131
1108064,Seongbuk,Jungneung3,620,837,1309,2106,1733,1283,1188,1176,1163,614,1218,1034,884,783,627,395,199,141
1108065,Seongbuk,Jungneung4,1528,1369,1587,1504,1880,2291,2834,2220,1938,1459,1988,1569,1347,1154,844,464,239,188
1108066,Seongbuk,Gireum1,2422,1908,1631,1614,2409,3341,4214,3030,2219,2330,2312,1694,1363,1077,767,408,231,137
1108068,Seongbuk,Gireum2,784,859,1029,1236,1635,1638,1634,1394,1415,793,1512,1222,1070,833,648,387,162,102
1108071,Seongbuk,Wolgok1,1588,1369,1477,1572,2161,2475,2877,2158,2013,1489,2223,1796,1370,1144,831,434,265,154
1108072,Seongbuk,Wolgok2,978,991,1245,1799,1863,1818,1927,1612,1448,876,1581,1248,1049,946,677,439,235,126
1108076,Seongbuk,Jangwi1,977,1446,1726,1622,1959,2026,2101,2097,2075,1021,2041,1606,1285,1067,814,390,213,131
1108077,Seongbuk,Jangwi2,811,1177,1444,1387,1817,1831,1795,1724,1732,859,1800,1456,1229,1000,773,407,191,110
1108078,Seongbuk,Jangwi3,708,988,1140,1148,1403,1334,1652,1484,1502,887,1506,1223,1028,878,630,346,146,114
1108081,Seongbuk,Seongbuk,607,817,998,1064,1555,1374,1396,1330,1276,623,1287,1015,906,789,692,433,239,165
1108082,Seongbuk,Samsun,900,1333,1572,1968,2425,2034,2381,2093,1841,1091,1773,1306,1221,1094,823,467,262,154
1108083,Seongbuk,Dongsun,430,634,1067,2025,1933,1293,1213,988,890,482,908,724,614,647,453,283,156,81
1108084,Seongbuk,Jongam,1831,2257,2448,3247,3436,3141,3725,3381,2980,1905,2966,2108,1730,1448,1186,736,329,227
1108085,Seongbuk,Seokgwan,1365,1752,2216,2520,3312,3017,3059,2659,2934,1365,2999,2509,2015,1630,1155,654,316,182
1109060,Gangbuk,Beon1,640,1046,1141,1316,2059,1869,1864,1583,1520,731,1464,1219,1134,951,685,321,191,109
1109061,Gangbuk,Beon2,758,1045,1274,1171,1636,1706,1682,1486,1513,772,1578,1289,1223,1067,725,375,183,103
1109062,Gangbuk,Beon3,849,1138,1236,1131,1459,1807,2003,1525,1433,907,1553,1379,1584,1445,797,376,212,139
1109063,Gangbuk,Suyu1,764,1152,1578,1521,1772,1739,1766,1717,1835,840,1834,1429,1218,1042,779,494,202,139
1109064,Gangbuk,Suyu2,819,1158,1472,1429,1762,1694,1801,1707,1759,849,1913,1613,1352,1124,948,515,298,166
1109065,Gangbuk,Suyu3,750,916,1198,1654,2316,2101,1909,1695,1650,720,1928,1543,1348,1257,840,510,220,107
1109069,Gangbuk,Samyang,1458,1658,1778,1566,2374,2620,2761,2430,2383,1396,2387,1864,1594,1310,977,575,271,166
1109070,Gangbuk,Mia,691,1152,1629,2275,2194,1867,1740,1815,1954,675,1989,1504,1326,1139,865,459,209,133
1109071,Gangbuk,Songjung,1095,1735,2011,1935,3070,2825,2722,2558,2691,1131,2868,2395,1896,1690,1201,675,294,218
1109072,Gangbuk,Songchun,1032,1455,1900,1691,2618,2393,2537,2370,2503,1023,2494,1974,1740,1513,1182,644,293,209
1109073,Gangbuk,Samgaksan,1848,2219,1644,1270,1843,2499,3572,3088,2179,2085,1942,1428,1086,904,706,382,186,126
1109074,Gangbuk,Ui,671,1065,1247,1158,1415,1388,1592,1616,1531,790,1706,1360,1295,1120,842,437,267,152
1109075,Gangbuk,Insoo,1043,1804,1960,1693,2463,2336,2350,2514,2532,1169,2673,2212,2010,1602,1247,669,361,261
1110051,Dobong,Ssangmun1,686,1280,1634,1953,1573,1432,1664,1664,1754,864,1852,1359,1184,1007,778,407,244,114
1110052,Dobong,Ssangmun2,732,1162,1455,1360,1700,1493,1633,1714,1755,823,1799,1361,984,812,613,437,216,124
1110053,Dobong,Ssangmun3,760,823,1013,1231,1718,1587,1549,1317,1340,729,1468,1163,1008,859,593,316,154,115
1110054,Dobong,Ssangmun4,654,1554,1782,1596,1533,1099,1565,1903,2114,938,2176,1375,771,593,544,347,219,131
1110055,Dobong,Banghak1,1051,1722,2207,2196,2468,2142,2304,2554,2812,1281,3001,2153,1600,1207,817,544,257,151
1110056,Dobong,Banghak2,768,1526,1720,1472,1722,1517,1844,1994,2041,992,1939,1436,1131,981,676,431,226,142
1110057,Dobong,Banghak3,1229,2321,2479,2270,2002,1704,2431,2847,3152,1621,3106,1954,1122,870,758,583,344,184
1110059,Dobong,Chang1,1191,1882,1761,1660,2177,2298,2554,2511,2276,1250,2333,1621,1199,1045,866,548,264,137
1110060,Dobong,Chang2,1312,1817,2066,2069,2556,2557,2774,2573,2547,1326,2478,1794,1426,1162,860,466,242,157
1110061,Dobong,Chang3,658,1019,1034,1011,1203,1207,1369,1366,1279,688,1236,940,883,671,500,285,149,88
1110062,Dobong,Chang4,1267,2190,2254,1968,2095,2048,2768,2900,2831,1559,2670,1623,1106,865,726,537,312,186
1110063,Dobong,Chang5,1171,1571,1871,1980,2283,2041,2234,2281,2395,1229,2576,1791,1203,910,726,474,249,150
1110064,Dobong,Dobong1,708,1093,1374,1410,1878,1625,1623,1709,1831,711,1953,1749,1588,1396,966,542,294,171
1110065,Dobong,Dobong2,1331,1386,1598,1849,2450,2387,2487,2157,2182,1328,2910,2337,1832,1419,1151,631,324,198
1111051,Nowon,Wolgye1,1099,1060,1427,2158,2127,2057,2038,1669,1679,966,1804,1529,1332,1011,714,385,241,143
1111052,Nowon,Wolgye2,1391,1707,1965,1868,2238,2660,2686,2368,2364,1372,2625,2201,1670,1232,917,657,409,284
1111053,Nowon,Wolgye3,2201,1778,1730,2034,2999,3649,3720,2850,2467,1963,2757,2240,1661,1369,1084,602,363,211
1111056,Nowon,Gongneung2,2122,3176,3951,4174,3411,3319,4065,4079,3807,2537,3596,2466,1663,1218,919,617,332,218
1111058,Nowon,Hagye1,657,2328,3675,3274,2101,1594,1773,2689,3436,1045,2852,1656,1140,802,811,605,354,261
1111059,Nowon,Hagye2,836,2222,2419,1726,1415,1480,2094,2677,2718,1365,2154,1233,865,707,597,428,229,153
1111060,Nowon,Junggyebon,615,3212,3341,1612,1156,864,1915,3400,3702,1532,2446,1108,775,625,583,418,230,138
1111061,Nowon,Junggye1,533,3919,3819,1788,986,700,2014,4205,4114,1742,2335,1003,589,531,504,351,204,119
1111064,Nowon,Junggye4,791,1607,1861,1487,1437,1443,1869,1972,2107,1058,1854,1299,1135,884,656,402,202,146
1111065,Nowon,Sanggye1,1716,2812,3135,2929,3277,3098,3352,3683,3867,1920,4015,2767,1888,1584,1130,746,398,280
1111066,Nowon,Sanggye2,731,1394,1890,1769,1760,1418,1601,1901,2071,793,2090,1479,1010,737,567,373,186,117
1111069,Nowon,Sanggye5,828,1503,1845,1623,1847,1821,1904,2052,2106,943,2009,1456,1121,955,722,434,256,148
1111072,Nowon,Sanggye8,1920,2100,1557,1113,2049,3195,3107,2726,1849,1790,1590,1118,874,590,507,405,192,131
1111073,Nowon,Sanggye9,1264,1876,1863,1432,1678,1908,2366,2455,2181,1376,2011,1336,837,599,545,437,269,154
1111074,Nowon,Sanggye10,1031,1333,1418,1324,1791,1893,1912,1835,1781,997,1717,1099,628,506,447,374,199,106
1111076,Nowon,Sanggye3.4,1358,2137,2308,2200,2754,2768,3235,3178,3024,1757,3183,2573,2200,1952,1506,816,404,253
1111077,Nowon,Sanggye6.7,1930,2495,2568,2180,2633,3206,3761,3502,3076,1997,2678,1810,1221,907,801,635,424,222
1111078,Nowon,Junggye2.3,1781,2919,3105,2484,2762,3398,3957,3605,3397,1993,3133,2327,1959,1706,1385,931,532,336
1111079,Nowon,Gongneung1,1689,1851,2329,3269,3874,3536,3197,2810,2884,1640,3459,2634,1850,1385,963,616,343,257
1112051,Eunpyeong,Nokbun,1351,1690,1713,1949,3016,3097,3068,2730,2447,1377,2709,2176,1925,1570,1229,716,332,244
1112052,Eunpyeong,Bulgwang1,1617,1968,2130,1998,2750,3013,3350,2985,2812,1554,2769,2067,1801,1553,1245,726,360,194
1112055,Eunpyeong,Galhyun1,836,1433,1748,1645,2058,1898,2020,1977,2034,940,2095,1543,1369,1068,779,383,202,115
1112056,Eunpyeong,Galhyun2,943,1732,2111,1725,1965,2056,2164,2314,2249,1070,2193,1521,1360,1068,778,459,231,157
1112057,Eunpyeong,Gusan,1191,1954,2286,1769,2139,2239,2627,2770,2862,1352,2714,2188,1797,1333,1031,616,333,234
1112058,Eunpyeong,Daejo,1096,1647,1836,1696,2508,2644,2664,2302,2248,1169,2283,1778,1589,1369,993,585,290,154
1112059,Eunpyeong,Eungam1,1384,2002,1678,1642,2560,2877,2807,2492,2264,1674,2167,1671,1567,1293,947,498,290,182
1112060,Eunpyeong,Eungam2,619,1129,1196,1057,1430,1404,1563,1591,1593,773,1485,1189,1078,860,719,410,241,143
1112065,Eunpyeong,Shinsa1,1180,1443,1698,1605,2226,2308,2353,2093,2047,1129,2186,1601,1367,1069,739,422,213,124
1112066,Eunpyeong,Shinsa2,881,1433,1579,1406,1672,1704,1823,1953,1893,1028,1883,1461,1088,806,623,380,179,120
1112067,Eunpyeong,Jeungsan,956,1131,1231,1215,1650,1763,1958,1735,1678,1009,1595,1329,1087,932,624,399,172,127
1112068,Eunpyeong,Susaek,877,989,1078,1203,1497,1549,1738,1564,1552,798,1682,1337,1050,941,720,448,223,138
1112071,Eunpyeong,Jingwan,2879,2256,2009,1882,2255,3128,4027,3234,2611,2384,2697,2096,1531,1216,1004,592,383,300
1112072,Eunpyeong,Bulgwang2,934,1635,1899,1919,2357,2269,2388,2369,2381,1048,2390,1880,1637,1380,982,576,271,175
1112073,Eunpyeong,Eungam3,862,1412,1648,1574,2053,2047,2120,2058,2010,1060,2043,1578,1406,1284,975,525,286,139
1112074,Eunpyeong,Yeokchon,1910,2555,2972,2496,3561,3959,4023,3584,3398,1959,3435,2682,2171,1804,1282,710,415,221
1113052,Seodaemoon,Cheonyeon,1056,1009,1599,1297,1480,1763,1893,1593,1587,882,1453,1041,890,799,723,423,233,121
1113062,Seodaemoon,Hongjae1,1103,1438,1545,1516,2138,2293,2475,2172,1992,1165,2072,1584,1425,1182,1033,605,329,170
1113064,Seodaemoon,Hongjae3,688,1092,1184,1250,1546,1452,1657,1677,1515,797,1611,1224,1059,983,888,492,242,152
1113065,Seodaemoon,Hongjae2,659,845,1000,1040,1178,1217,1343,1299,1418,656,1273,905,806,670,538,291,170,97
1113066,Seodaemoon,Hongeun1,915,1558,1676,1573,1659,1687,2215,2150,2143,1187,2161,1614,1339,1235,995,660,342,211
1113068,Seodaemoon,Hongeun2,1062,1652,1887,2043,2292,2178,2387,2389,2276,1143,2258,1676,1429,1172,1067,541,291,205
1113069,Seodaemoon,Namgaja1,151,148,164,235,208,251,293,256,247,145,237,231,183,191,149,68,30,31
1113070,Seodaemoon,Namgaja2,1102,1721,2276,2458,2348,2162,2649,2622,2389,1356,2296,1781,1599,1364,1006,620,338,165
1113071,Seodaemoon,Bukgaja1,438,530,601,608,767,820,879,840,730,452,799,653,580,479,382,223,109,70
1113072,Seodaemoon,Bukgaja2,1407,1960,2245,1913,2624,2799,2994,2811,2623,1521,2702,2070,1784,1506,1182,624,336,203
1113073,Seodaemoon,Chunghyun,734,1047,1936,1851,2422,2105,1870,1763,1797,739,1703,1269,1067,980,828,494,269,212
1113074,Seodaemoon,Bukahyun,488,716,981,1177,1539,1285,1259,1232,1155,531,1015,834,618,563,520,307,158,99
1113075,Seodaemoon,Shinchon,377,538,1031,3958,3336,1679,1108,944,802,336,794,680,658,500,478,267,162,100
1113076,Seodaemoon,Yeonhee,1254,2049,2903,4946,4862,3188,3197,3101,2785,1498,2718,2047,1849,1812,1427,889,467,264
1114059,Mapo,Yonggang,1077,999,1011,972,1747,2183,2369,1742,1494,1048,1379,1043,881,776,587,368,178,128
1114060,Mapo,Daeheung,299,416,1056,2777,2682,1428,1082,866,905,330,890,665,552,532,421,290,151,74
1114061,Mapo,Yeomni,607,851,911,1253,1883,1644,1608,1332,1289,665,1256,982,823,726,595,314,166,85
1114063,Mapo,Sinsoo,1111,1048,1194,1578,2250,2125,2249,1716,1518,1006,1603,1197,1024,841,665,411,192,115
1114066,Mapo,Seogyo,660,911,1452,3354,4769,3622,2626,1756,1494,687,1510,1259,1081,979,779,488,271,158
1114068,Mapo,Hapjeong,730,831,976,1270,2326,2224,1789,1390,1262,596,1284,1130,891,762,549,334,143,82
1114069,Mapo,Mangwon1,1016,1209,1288,1325,2333,2466,2311,1803,1656,960,1657,1225,1149,919,671,394,195,109
1114070,Mapo,Mangwon2,1049,1182,1260,1068,1667,2061,2185,1785,1457,1025,1459,1087,1000,804,600,319,151,104
