행정구역별(읍면동),연령별,2010
상봉2동,30~34세,1759
상봉2동,35~39세,1445
상봉2동,40~44세,1249
상봉2동,45~49세,1396
상봉2동,50~54세,1537
상봉2동,55~59세,1228
상봉2동,60~64세,1020
상봉2동,65~69세,815
상봉2동,70~74세,514
상봉2동,75~79세,283
상봉2동,80~84세,176
상봉2동,85세 이상,105
중화1동,0~4세,916
중화1동,5~9세,864
중화1동,10~14세,1172
중화1동,15~19세,1454
중화1동,20~24세,1435
중화1동,25~29세,1790
중화1동,30~34세,1856
중화1동,35~39세,1791
중화1동,40~44세,1596
중화1동,45~49세,1814
중화1동,50~54세,1808
중화1동,55~59세,1438
중화1동,60~64세,1080
중화1동,65~69세,746
중화1동,70~74세,554
중화1동,75~79세,291
중화1동,80~84세,179
중화1동,85세 이상,95
중화2동,0~4세,858
중화2동,5~9세,941
중화2동,10~14세,1348
중화2동,15~19세,1826
중화2동,20~24세,1974
중화2동,25~29세,2795
중화2동,30~34세,2408
중화2동,35~39세,2319
중화2동,40~44세,2474
중화2동,45~49세,2761
중화2동,50~54세,2738
중화2동,55~59세,2029
중화2동,60~64세,1617
중화2동,65~69세,1289
중화2동,70~74세,956
중화2동,75~79세,493
중화2동,80~84세,266
중화2동,85세 이상,178
묵1동,0~4세,1337
묵1동,5~9세,1374
묵1동,10~14세,1891
묵1동,15~19세,2211
묵1동,20~24세,2143
묵1동,25~29세,2753
묵1동,30~34세,2675
묵1동,35~39세,2745
묵1동,40~44세,2650
묵1동,45~49세,2735
묵1동,50~54세,2852
묵1동,55~59세,2273
묵1동,60~64세,1728
묵1동,65~69세,1314
묵1동,70~74세,915
묵1동,75~79세,543
묵1동,80~84세,298
묵1동,85세 이상,175
묵2동,0~4세,726
묵2동,5~9세,777
묵2동,10~14세,1013
묵2동,15~19세,1154
묵2동,20~24세,1254
묵2동,25~29세,1695
묵2동,30~34세,1625
묵2동,35~39세,1653
묵2동,40~44세,1534
묵2동,45~49세,1496
묵2동,50~54세,1635
묵2동,55~59세,1386
묵2동,60~64세,1081
묵2동,65~69세,872
묵2동,70~74세,575
묵2동,75~79세,298
묵2동,80~84세,165
묵2동,85세 이상,100
망우3동,0~4세,617
망우3동,5~9세,741
망우3동,10~14세,1137
망우3동,15~19세,1401
망우3동,20~24세,1347
망우3동,25~29세,1468
망우3동,30~34세,1296
망우3동,35~39세,1462
망우3동,40~44세,1687
망우3동,45~49세,1785
망우3동,50~54세,1570
망우3동,55~59세,1137
망우3동,60~64세,937
망우3동,65~69세,762
망우3동,70~74세,509
망우3동,75~79세,296
망우3동,80~84세,179
망우3동,85세 이상,96
신내1동,0~4세,1610
신내1동,5~9세,1427
신내1동,10~14세,1787
신내1동,15~19세,2324
신내1동,20~24세,2078
신내1동,25~29세,2390
신내1동,30~34세,2323
신내1동,35~39세,2483
신내1동,40~44세,2513
신내1동,45~49세,2801
신내1동,50~54세,2803
신내1동,55~59세,2037
신내1동,60~64세,1384
신내1동,65~69세,1067
신내1동,70~74세,831
신내1동,75~79세,494
신내1동,80~84세,317
신내1동,85세 이상,235
신내2동,0~4세,1198
신내2동,5~9세,1261
신내2동,10~14세,1621
신내2동,15~19세,1699
신내2동,20~24세,1504
신내2동,25~29세,1944
신내2동,30~34세,2131
신내2동,35~39세,2239
신내2동,40~44세,2250
신내2동,45~49세,2174
신내2동,50~54세,2080
신내2동,55~59세,1567
신내2동,60~64세,1036
신내2동,65~69세,815
신내2동,70~74세,641
신내2동,75~79세,454
신내2동,80~84세,250
신내2동,85세 이상,152
면목본동,0~4세,1197
면목본동,5~9세,1336
면목본동,10~14세,1893
면목본동,15~19세,2125
면목본동,20~24세,2300
면목본동,25~29세,3467
면목본동,30~34세,3139
면목본동,35~39세,2948
면목본동,40~44세,2920
면목본동,45~49세,2869
면목본동,50~54세,2884
면목본동,55~59세,2335
면목본동,60~64세,1791
면목본동,65~69세,1482
면목본동,70~74세,985
면목본동,75~79세,525
면목본동,80~84세,287
면목본동,85세 이상,154
면목3·8동,0~4세,987
면목3·8동,5~9세,1013
면목3·8동,10~14세,1488
면목3·8동,15~19세,1825
면목3·8동,20~24세,1977
면목3·8동,25~29세,2765
면목3·8동,30~34세,2354
면목3·8동,35~39세,2289
면목3·8동,40~44세,2345
면목3·8동,45~49세,2367
면목3·8동,50~54세,2486
면목3·8동,55~59세,1867
면목3·8동,60~64세,1544
면목3·8동,65~69세,1220
면목3·8동,70~74세,859
면목3·8동,75~79세,479
면목3·8동,80~84세,243
면목3·8동,85세 이상,174
망우본동,0~4세,1162
망우본동,5~9세,1123
망우본동,10~14세,1623
망우본동,15~19세,2207
망우본동,20~24세,2137
망우본동,25~29세,2697
망우본동,30~34세,2476
망우본동,35~39세,2432
망우본동,40~44세,2490
망우본동,45~49세,2927
망우본동,50~54세,2937
망우본동,55~59세,2179
망우본동,60~64세,1626
망우본동,65~69세,1287
망우본동,70~74세,953
망우본동,75~79세,591
망우본동,80~84세,323
망우본동,85세 이상,254
성북구,0~4세,20563
성북구,5~9세,21161
성북구,10~14세,24081
성북구,15~19세,28354
성북구,20~24세,34330
성북구,25~29세,39798
성북구,30~34세,38042
성북구,35~39세,42494
성북구,40~44세,36792
성북구,45~49세,34044
성북구,50~54세,34591
성북구,55~59세,27146
성북구,60~64세,22465
성북구,65~69세,19025
성북구,70~74세,14397
성북구,75~79세,8450
성북구,80~84세,4309
성북구,85세 이상,2662
돈암1동,0~4세,599
돈암1동,5~9세,702
돈암1동,10~14세,894
돈암1동,15~19세,952
돈암1동,20~24세,1077
돈암1동,25~29세,1280
돈암1동,30~34세,1164
돈암1동,35~39세,1267
돈암1동,40~44세,1371
돈암1동,45~49세,1330
돈암1동,50~54세,1357
돈암1동,55~59세,1035
돈암1동,60~64세,829
돈암1동,65~69세,678
돈암1동,70~74세,531
돈암1동,75~79세,297
돈암1동,80~84세,172
돈암1동,85세 이상,96
돈암2동,0~4세,1203
돈암2동,5~9세,1497
돈암2동,10~14세,1634
돈암2동,15~19세,1405
돈암2동,20~24세,1296
돈암2동,25~29세,1418
돈암2동,30~34세,1606
돈암2동,35~39세,2408
돈암2동,40~44세,2307
돈암2동,45~49세,1988
돈암2동,50~54세,1802
돈암2동,55~59세,1282
돈암2동,60~64세,992
돈암2동,65~69세,826
돈암2동,70~74세,628
돈암2동,75~79세,423
돈암2동,80~84세,223
돈암2동,85세 이상,113
안암동,0~4세,405
안암동,5~9세,466
안암동,10~14세,733
안암동,15~19세,1728
안암동,20~24세,3395
안암동,25~29세,2866
안암동,30~34세,1353
안암동,35~39세,1240
안암동,40~44세,1107
안암동,45~49세,975
안암동,50~54세,968
안암동,55~59세,762
안암동,60~64세,621
안암동,65~69세,588
안암동,70~74세,482
안암동,75~79세,301
안암동,80~84세,126
안암동,85세 이상,71
보문동,0~4세,453
보문동,5~9세,537
보문동,10~14세,722
보문동,15~19세,869
보문동,20~24세,1088
보문동,25~29세,1510
보문동,30~34세,1262
보문동,35~39세,1270
보문동,40~44세,1233
보문동,45~49세,1189
보문동,50~54세,1083
보문동,55~59세,880
보문동,60~64세,736
보문동,65~69세,637
보문동,70~74세,489
보문동,75~79세,302
보문동,80~84세,173
보문동,85세 이상,85
정릉1동,0~4세,1111
정릉1동,5~9세,1017
정릉1동,10~14세,1059
정릉1동,15~19세,1179
정릉1동,20~24세,1284
정릉1동,25~29세,1445
정릉1동,30~34세,1780
정릉1동,35~39세,2065
정릉1동,40~44세,1625
정릉1동,45~49세,1430
정릉1동,50~54세,1437
정릉1동,55~59세,1169
정릉1동,60~64세,954
정릉1동,65~69세,804
정릉1동,70~74세,588
정릉1동,75~79세,396
정릉1동,80~84세,212
정릉1동,85세 이상,154
정릉2동,0~4세,1243
정릉2동,5~9세,1148
정릉2동,10~14세,1302
정릉2동,15~19세,1332
정릉2동,20~24세,1378
정릉2동,25~29세,1758
정릉2동,30~34세,1981
정릉2동,35~39세,2248
정릉2동,40~44세,1803
정릉2동,45~49세,1706
정릉2동,50~54세,1830
정릉2동,55~59세,1508
정릉2동,60~64세,1222
정릉2동,65~69세,1002
정릉2동,70~74세,759
정릉2동,75~79세,488
정릉2동,80~84세,220
정릉2동,85세 이상,131
정릉3동,0~4세,620
정릉3동,5~9세,614
정릉3동,10~14세,837
정릉3동,15~19세,1309
정릉3동,20~24세,2106
정릉3동,25~29세,1733
정릉3동,30~34세,1283
정릉3동,35~39세,1188
정릉3동,40~44세,1176
정릉3동,45~49세,1163
정릉3동,50~54세,1218
정릉3동,55~59세,1034
정릉3동,60~64세,884
정릉3동,65~69세,783
정릉3동,70~74세,627
정릉3동,75~79세,395
정릉3동,80~84세,199
정릉3동,85세 이상,141
정릉4동,0~4세,1528
정릉4동,5~9세,1459
정릉4동,10~14세,1369
정릉4동,15~19세,1587
정릉4동,20~24세,1504
정릉4동,25~29세,1880
정릉4동,30~34세,2291
정릉4동,35~39세,2834
정릉4동,40~44세,2220
정릉4동,45~49세,1938
정릉4동,50~54세,1988
정릉4동,55~59세,1569
정릉4동,60~64세,1347
정릉4동,65~69세,1154
정릉4동,70~74세,844
정릉4동,75~79세,464
정릉4동,80~84세,239
정릉4동,85세 이상,188
길음1동,0~4세,2422
길음1동,5~9세,2330
길음1동,10~14세,1908
길음1동,15~19세,1631
길음1동,20~24세,1614
길음1동,25~29세,2409
길음1동,30~34세,3341
길음1동,35~39세,4214
길음1동,40~44세,3030
길음1동,45~49세,2219
길음1동,50~54세,2312
길음1동,55~59세,1694
길음1동,60~64세,1363
길음1동,65~69세,1077
길음1동,70~74세,767
길음1동,75~79세,408
길음1동,80~84세,231
길음1동,85세 이상,137
길음2동,0~4세,784
길음2동,5~9세,793
길음2동,10~14세,859
길음2동,15~19세,1029
길음2동,20~24세,1236
길음2동,25~29세,1635
길음2동,30~34세,1638
길음2동,35~39세,1634
길음2동,40~44세,1394
길음2동,45~49세,1415
길음2동,50~54세,1512
길음2동,55~59세,1222
길음2동,60~64세,1070
길음2동,65~69세,833
길음2동,70~74세,648
길음2동,75~79세,387
길음2동,80~84세,162
길음2동,85세 이상,102
월곡1동,0~4세,1588
월곡1동,5~9세,1489
월곡1동,10~14세,1369
월곡1동,15~19세,1477
월곡1동,20~24세,1572
월곡1동,25~29세,2161
월곡1동,30~34세,2475
월곡1동,35~39세,2877
월곡1동,40~44세,2158
월곡1동,45~49세,2013
월곡1동,50~54세,2223
월곡1동,55~59세,1796
월곡1동,60~64세,1370
월곡1동,65~69세,1144
월곡1동,70~74세,831
월곡1동,75~79세,434
월곡1동,80~84세,265
월곡1동,85세 이상,154
월곡2동,0~4세,978
월곡2동,5~9세,876
월곡2동,10~14세,991
월곡2동,15~19세,1245
월곡2동,20~24세,1799
월곡2동,25~29세,1863
월곡2동,30~34세,1818
월곡2동,35~39세,1927
월곡2동,40~44세,1612
월곡2동,45~49세,1448
월곡2동,50~54세,1581
월곡2동,55~59세,1248
월곡2동,60~64세,1049
월곡2동,65~69세,946
월곡2동,70~74세,677
월곡2동,75~79세,439
월곡2동,80~84세,235
월곡2동,85세 이상,126
장위1동,0~4세,977
장위1동,5~9세,1021
장위1동,10~14세,1446
장위1동,15~19세,1726
장위1동,20~24세,1622
장위1동,25~29세,1959
장위1동,30~34세,2026
장위1동,35~39세,2101
장위1동,40~44세,2097
장위1동,45~49세,2075
장위1동,50~54세,2041
장위1동,55~59세,1606
장위1동,60~64세,1285
장위1동,65~69세,1067
장위1동,70~74세,814
장위1동,75~79세,390
장위1동,80~84세,213
장위1동,85세 이상,131
장위2동,0~4세,811
장위2동,5~9세,859
장위2동,10~14세,1177
장위2동,15~19세,1444
장위2동,20~24세,1387
장위2동,25~29세,1817
장위2동,30~34세,1831
장위2동,35~39세,1795
장위2동,40~44세,1724
장위2동,45~49세,1732
장위2동,50~54세,1800
장위2동,55~59세,1456
장위2동,60~64세,1229
장위2동,65~69세,1000
장위2동,70~74세,773
장위2동,75~79세,407
장위2동,80~84세,191
장위2동,85세 이상,110
장위3동,0~4세,708
장위3동,5~9세,887
장위3동,10~14세,988
장위3동,15~19세,1140
장위3동,20~24세,1148
장위3동,25~29세,1403
장위3동,30~34세,1334
장위3동,35~39세,1652
장위3동,40~44세,1484
장위3동,45~49세,1502
장위3동,50~54세,1506
장위3동,55~59세,1223
장위3동,60~64세,1028
장위3동,65~69세,878
장위3동,70~74세,630
장위3동,75~79세,346
장위3동,80~84세,146
장위3동,85세 이상,114
성북동,0~4세,607
성북동,5~9세,623
성북동,10~14세,817
성북동,15~19세,998
성북동,20~24세,1064
성북동,25~29세,1555
성북동,30~34세,1374
성북동,35~39세,1396
성북동,40~44세,1330
성북동,45~49세,1276
성북동,50~54세,1287
성북동,55~59세,1015
성북동,60~64세,906
성북동,65~69세,789
성북동,70~74세,692
성북동,75~79세,433
성북동,80~84세,239
성북동,85세 이상,165
삼선동,0~4세,900
삼선동,5~9세,1091
삼선동,10~14세,1333
삼선동,15~19세,1572
삼선동,20~24세,1968
삼선동,25~29세,2425
삼선동,30~34세,2034
삼선동,35~39세,2381
삼선동,40~44세,2093
삼선동,45~49세,1841
삼선동,50~54세,1773
삼선동,55~59세,1306
삼선동,60~64세,1221
삼선동,65~69세,1094
삼선동,70~74세,823
삼선동,75~79세,467
삼선동,80~84세,262
삼선동,85세 이상,154
동선동,0~4세,430
동선동,5~9세,482
동선동,10~14세,634
동선동,15~19세,1067
동선동,20~24세,2025
동선동,25~29세,1933
동선동,30~34세,1293
동선동,35~39세,1213
동선동,40~44세,988
동선동,45~49세,890
동선동,50~54세,908
동선동,55~59세,724
동선동,60~64세,614
동선동,65~69세,647
동선동,70~74세,453
동선동,75~79세,283
동선동,80~84세,156
동선동,85세 이상,81
종암동,0~4세,1831
종암동,5~9세,1905
종암동,10~14세,2257
종암동,15~19세,2448
종암동,20~24세,3247
종암동,25~29세,3436
종암동,30~34세,3141
종암동,35~39세,3725
종암동,40~44세,3381
종암동,45~49세,2980
종암동,50~54세,2966
종암동,55~59세,2108
종암동,60~64세,1730
종암동,65~69세,1448
종암동,70~74세,1186
종암동,75~79세,736
종암동,80~84세,329
종암동,85세 이상,227
석관동,0~4세,1365
석관동,5~9세,1365
석관동,10~14세,1752
석관동,15~19세,2216
석관동,20~24세,2520
석관동,25~29세,3312
석관동,30~34세,3017
석관동,35~39세,3059
석관동,40~44세,2659
석관동,45~49세,2934
석관동,50~54세,2999
석관동,55~59세,2509
석관동,60~64세,2015
석관동,65~69세,1630
석관동,70~74세,1155
석관동,75~79세,654
석관동,80~84세,316
석관동,85세 이상,182
강북구,0~4세,12418
강북구,5~9세,13088
강북구,10~14세,17543
강북구,15~19세,20068
강북구,20~24세,19810
강북구,25~29세,26981
강북구,30~34세,26844
강북구,35~39세,28299
강북구,40~44세,26104
강북구,45~49세,25483
강북구,50~54세,26329
강북구,55~59세,21209
강북구,60~64세,18806
강북구,65~69세,16164
강북구,70~74세,11794
강북구,75~79세,6432
강북구,80~84세,3187
강북구,85세 이상,2028
번1동,0~4세,640
번1동,5~9세,731
번1동,10~14세,1046
번1동,15~19세,1141
번1동,20~24세,1316
번1동,25~29세,2059
번1동,30~34세,1869
번1동,35~39세,1864
번1동,40~44세,1583
번1동,45~49세,1520
번1동,50~54세,1464
번1동,55~59세,1219
번1동,60~64세,1134
번1동,65~69세,951
번1동,70~74세,685
번1동,75~79세,321
번1동,80~84세,191
번1동,85세 이상,109
번2동,0~4세,758
번2동,5~9세,772
번2동,10~14세,1045
번2동,15~19세,1274
번2동,20~24세,1171
번2동,25~29세,1636
번2동,30~34세,1706
번2동,35~39세,1682
번2동,40~44세,1486
번2동,45~49세,1513
번2동,50~54세,1578
번2동,55~59세,1289
번2동,60~64세,1223
번2동,65~69세,1067
번2동,70~74세,725
번2동,75~79세,375
번2동,80~84세,183
번2동,85세 이상,103
번3동,0~4세,849
번3동,5~9세,907
번3동,10~14세,1138
번3동,15~19세,1236
번3동,20~24세,1131
번3동,25~29세,1459
번3동,30~34세,1807
번3동,35~39세,2003
번3동,40~44세,1525
번3동,45~49세,1433
번3동,50~54세,1553
번3동,55~59세,1379
번3동,60~64세,1584
번3동,65~69세,1445
번3동,70~74세,797
번3동,75~79세,376
번3동,80~84세,212
번3동,85세 이상,139
수유1동,0~4세,764
수유1동,5~9세,840
수유1동,10~14세,1152
수유1동,15~19세,1578
수유1동,20~24세,1521
수유1동,25~29세,1772
수유1동,30~34세,1739
수유1동,35~39세,1766
수유1동,40~44세,1717
수유1동,45~49세,1835
수유1동,50~54세,1834
수유1동,55~59세,1429
수유1동,60~64세,1218
수유1동,65~69세,1042
수유1동,70~74세,779
수유1동,75~79세,494
수유1동,80~84세,202
수유1동,85세 이상,139
수유2동,0~4세,819
수유2동,5~9세,849
수유2동,10~14세,1158
수유2동,15~19세,1472
수유2동,20~24세,1429
수유2동,25~29세,1762
수유2동,30~34세,1694
수유2동,35~39세,1801
수유2동,40~44세,1707
수유2동,45~49세,1759
수유2동,50~54세,1913
수유2동,55~59세,1613
수유2동,60~64세,1352
수유2동,65~69세,1124
수유2동,70~74세,948
수유2동,75~79세,515
수유2동,80~84세,298
수유2동,85세 이상,166
수유3동,0~4세,750
수유3동,5~9세,720
수유3동,10~14세,916
수유3동,15~19세,1198
수유3동,20~24세,1654
수유3동,25~29세,2316
수유3동,30~34세,2101
수유3동,35~39세,1909
수유3동,40~44세,1695
수유3동,45~49세,1650
수유3동,50~54세,1928
수유3동,55~59세,1543
수유3동,60~64세,1348
수유3동,65~69세,1257
수유3동,70~74세,840
수유3동,75~79세,510
수유3동,80~84세,220
수유3동,85세 이상,107
삼양동,0~4세,1458
삼양동,5~9세,1396
삼양동,10~14세,1658
삼양동,15~19세,1778
삼양동,20~24세,1566
삼양동,25~29세,2374
삼양동,30~34세,2620
삼양동,35~39세,2761
삼양동,40~44세,2430
삼양동,45~49세,2383
삼양동,50~54세,2387
삼양동,55~59세,1864
삼양동,60~64세,1594
삼양동,65~69세,1310
삼양동,70~74세,977
삼양동,75~79세,575
삼양동,80~84세,271
삼양동,85세 이상,166
미아동,0~4세,691
미아동,5~9세,675
미아동,10~14세,1152
미아동,15~19세,1629
미아동,20~24세,2275
미아동,25~29세,2194
미아동,30~34세,1867
미아동,35~39세,1740
미아동,40~44세,1815
미아동,45~49세,1954
미아동,50~54세,1989
미아동,55~59세,1504
미아동,60~64세,1326
미아동,65~69세,1139
미아동,70~74세,865
미아동,75~79세,459
미아동,80~84세,209
미아동,85세 이상,133
송중동,0~4세,1095
송중동,5~9세,1131
송중동,10~14세,1735
송중동,15~19세,2011
송중동,20~24세,1935
송중동,25~29세,3070
송중동,30~34세,2825
송중동,35~39세,2722
송중동,40~44세,2558
송중동,45~49세,2691
송중동,50~54세,2868
송중동,55~59세,2395
송중동,60~64세,1896
송중동,65~69세,1690
송중동,70~74세,1201
송중동,75~79세,675
송중동,80~84세,294
송중동,85세 이상,218
송천동,0~4세,1032
송천동,5~9세,1023
송천동,10~14세,1455
송천동,15~19세,1900
송천동,20~24세,1691
송천동,25~29세,2618
송천동,30~34세,2393
송천동,35~39세,2537
송천동,40~44세,2370
송천동,45~49세,2503
송천동,50~54세,2494
송천동,55~59세,1974
송천동,60~64세,1740
송천동,65~69세,1513
송천동,70~74세,1182
송천동,75~79세,644
송천동,80~84세,293
송천동,85세 이상,209
삼각산동,0~4세,1848
삼각산동,5~9세,2085
삼각산동,10~14세,2219
삼각산동,15~19세,1644
삼각산동,20~24세,1270
삼각산동,25~29세,1843
삼각산동,30~34세,2499
삼각산동,35~39세,3572
삼각산동,40~44세,3088
삼각산동,45~49세,2179
삼각산동,50~54세,1942
삼각산동,55~59세,1428
삼각산동,60~64세,1086
삼각산동,65~69세,904
삼각산동,70~74세,706
삼각산동,75~79세,382
삼각산동,80~84세,186
삼각산동,85세 이상,126
우이동,0~4세,671
우이동,5~9세,790
우이동,10~14세,1065
우이동,15~19세,1247
우이동,20~24세,1158
우이동,25~29세,1415
우이동,30~34세,1388
우이동,35~39세,1592
우이동,40~44세,1616
우이동,45~49세,1531
우이동,50~54세,1706
우이동,55~59세,1360
우이동,60~64세,1295
우이동,65~69세,1120
우이동,70~74세,842
우이동,75~79세,437
우이동,80~84세,267
우이동,85세 이상,152
인수동,0~4세,1043
인수동,5~9세,1169
인수동,10~14세,1804
인수동,15~19세,1960
인수동,20~24세,1693
인수동,25~29세,2463
인수동,30~34세,2336
인수동,35~39세,2350
인수동,40~44세,2514
인수동,45~49세,2532
인수동,50~54세,2673
인수동,55~59세,2212
인수동,60~64세,2010
인수동,65~69세,1602
인수동,70~74세,1247
인수동,75~79세,669
인수동,80~84세,361
인수동,85세 이상,261
도봉구,0~4세,13518
도봉구,5~9세,15339
도봉구,10~14세,21346
도봉구,15~19세,24248
도봉구,20~24세,24025
도봉구,25~29세,27358
도봉구,30~34세,25137
도봉구,35~39세,28799
도봉구,40~44세,29490
도봉구,45~49세,30309
도봉구,50~54세,31497
도봉구,55~59세,22656
도봉구,60~64세,17037
도봉구,65~69세,13797
도봉구,70~74세,10574
도봉구,75~79세,6548
도봉구,80~84세,3494
도봉구,85세 이상,2048
쌍문1동,0~4세,686
쌍문1동,5~9세,864
쌍문1동,10~14세,1280
쌍문1동,15~19세,1634
쌍문1동,20~24세,1953
쌍문1동,25~29세,1573
쌍문1동,30~34세,1432
쌍문1동,35~39세,1664
쌍문1동,40~44세,1664
쌍문1동,45~49세,1754
쌍문1동,50~54세,1852
쌍문1동,55~59세,1359
쌍문1동,60~64세,1184
쌍문1동,65~69세,1007
쌍문1동,70~74세,778
쌍문1동,75~79세,407
쌍문1동,80~84세,244
쌍문1동,85세 이상,114
쌍문2동,0~4세,732
쌍문2동,5~9세,823
쌍문2동,10~14세,1162
쌍문2동,15~19세,1455
쌍문2동,20~24세,1360
쌍문2동,25~29세,1700
쌍문2동,30~34세,1493
쌍문2동,35~39세,1633
쌍문2동,40~44세,1714
쌍문2동,45~49세,1755
쌍문2동,50~54세,1799
쌍문2동,55~59세,1361
쌍문2동,60~64세,984
쌍문2동,65~69세,812
쌍문2동,70~74세,613
쌍문2동,75~79세,437
쌍문2동,80~84세,216
쌍문2동,85세 이상,124
쌍문3동,0~4세,760
쌍문3동,5~9세,729
쌍문3동,10~14세,823
쌍문3동,15~19세,1013
쌍문3동,20~24세,1231
쌍문3동,25~29세,1718
쌍문3동,30~34세,1587
쌍문3동,35~39세,1549
쌍문3동,40~44세,1317
쌍문3동,45~49세,1340
쌍문3동,50~54세,1468
쌍문3동,55~59세,1163
쌍문3동,60~64세,1008
쌍문3동,65~69세,859
쌍문3동,70~74세,593
쌍문3동,75~79세,316
쌍문3동,80~84세,154
쌍문3동,85세 이상,115
쌍문4동,0~4세,654
쌍문4동,5~9세,938
쌍문4동,10~14세,1554
쌍문4동,15~19세,1782
쌍문4동,20~24세,1596
쌍문4동,25~29세,1533
쌍문4동,30~34세,1099
쌍문4동,35~39세,1565
쌍문4동,40~44세,1903
쌍문4동,45~49세,2114
쌍문4동,50~54세,2176
쌍문4동,55~59세,1375
쌍문4동,60~64세,771
쌍문4동,65~69세,593
쌍문4동,70~74세,544
쌍문4동,75~79세,347
쌍문4동,80~84세,219
쌍문4동,85세 이상,131
방학1동,0~4세,1051
방학1동,5~9세,1281
방학1동,10~14세,1722
방학1동,15~19세,2207
방학1동,20~24세,2196
방학1동,25~29세,2468
방학1동,30~34세,2142
방학1동,35~39세,2304
방학1동,40~44세,2554
방학1동,45~49세,2812
방학1동,50~54세,3001
방학1동,55~59세,2153
방학1동,60~64세,1600
방학1동,65~69세,1207
방학1동,70~74세,817
방학1동,75~79세,544
방학1동,80~84세,257
방학1동,85세 이상,151
방학2동,0~4세,768
방학2동,5~9세,992
방학2동,10~14세,1526
방학2동,15~19세,1720
방학2동,20~24세,1472
방학2동,25~29세,1722
방학2동,30~34세,1517
방학2동,35~39세,1844
방학2동,40~44세,1994
방학2동,45~49세,2041
방학2동,50~54세,1939
방학2동,55~59세,1436
방학2동,60~64세,1131
방학2동,65~69세,981
방학2동,70~74세,676
방학2동,75~79세,431
방학2동,80~84세,226
방학2동,85세 이상,142
방학3동,0~4세,1229
방학3동,5~9세,1621
방학3동,10~14세,2321
방학3동,15~19세,2479
방학3동,20~24세,2270
방학3동,25~29세,2002
방학3동,30~34세,1704
방학3동,35~39세,2431
방학3동,40~44세,2847
방학3동,45~49세,3152
방학3동,50~54세,3106
방학3동,55~59세,1954
방학3동,60~64세,1122
방학3동,65~69세,870
방학3동,70~74세,758
방학3동,75~79세,583
방학3동,80~84세,344
방학3동,85세 이상,184
창1동,0~4세,1191
창1동,5~9세,1250
창1동,10~14세,1882
창1동,15~19세,1761
창1동,20~24세,1660
창1동,25~29세,2177
창1동,30~34세,2298
창1동,35~39세,2554
창1동,40~44세,2511
창1동,45~49세,2276
창1동,50~54세,2333
창1동,55~59세,1621
창1동,60~64세,1199
창1동,65~69세,1045
창1동,70~74세,866
창1동,75~79세,548
창1동,80~84세,264
창1동,85세 이상,137
창2동,0~4세,1312
창2동,5~9세,1326
창2동,10~14세,1817
창2동,15~19세,2066
창2동,20~24세,2069
창2동,25~29세,2556
창2동,30~34세,2557
창2동,35~39세,2774
창2동,40~44세,2573
창2동,45~49세,2547
창2동,50~54세,2478
창2동,55~59세,1794
창2동,60~64세,1426
창2동,65~69세,1162
창2동,70~74세,860
창2동,75~79세,466
창2동,80~84세,242
창2동,85세 이상,157
창3동,0~4세,658
창3동,5~9세,688
창3동,10~14세,1019
창3동,15~19세,1034
창3동,20~24세,1011
창3동,25~29세,1203
창3동,30~34세,1207
창3동,35~39세,1369
창3동,40~44세,1366
창3동,45~49세,1279
창3동,50~54세,1236
창3동,55~59세,940
창3동,60~64세,883
창3동,65~69세,671
창3동,70~74세,500
창3동,75~79세,285
창3동,80~84세,149
창3동,85세 이상,88
창4동,0~4세,1267
창4동,5~9세,1559
창4동,10~14세,2190
창4동,15~19세,2254
창4동,20~24세,1968
창4동,25~29세,2095
창4동,30~34세,2048
창4동,35~39세,2768
창4동,40~44세,2900
창4동,45~49세,2831
창4동,50~54세,2670
창4동,55~59세,1623
창4동,60~64세,1106
창4동,65~69세,865
창4동,70~74세,726
창4동,75~79세,537
창4동,80~84세,312
창4동,85세 이상,186
창5동,0~4세,1171
창5동,5~9세,1229
창5동,10~14세,1571
창5동,15~19세,1871
창5동,20~24세,1980
창5동,25~29세,2283
창5동,30~34세,2041
창5동,35~39세,2234
창5동,40~44세,2281
창5동,45~49세,2395
창5동,50~54세,2576
창5동,55~59세,1791
창5동,60~64세,1203
창5동,65~69세,910
창5동,70~74세,726
창5동,75~79세,474
창5동,80~84세,249
창5동,85세 이상,150
도봉1동,0~4세,708
도봉1동,5~9세,711
도봉1동,10~14세,1093
도봉1동,15~19세,1374
도봉1동,20~24세,1410
도봉1동,25~29세,1878
도봉1동,30~34세,1625
도봉1동,35~39세,1623
도봉1동,40~44세,1709
도봉1동,45~49세,1831
도봉1동,50~54세,1953
도봉1동,55~59세,1749
도봉1동,60~64세,1588
도봉1동,65~69세,1396
도봉1동,70~74세,966
도봉1동,75~79세,542
도봉1동,80~84세,294
도봉1동,85세 이상,171
도봉2동,0~4세,1331
도봉2동,5~9세,1328
도봉2동,10~14세,1386
도봉2동,15~19세,1598
도봉2동,20~24세,1849
도봉2동,25~29세,2450
도봉2동,30~34세,2387
도봉2동,35~39세,2487
도봉2동,40~44세,2157
도봉2동,45~49세,2182
도봉2동,50~54세,2910
도봉2동,55~59세,2337
도봉2동,60~64세,1832
도봉2동,65~69세,1419
도봉2동,70~74세,1151
도봉2동,75~79세,631
도봉2동,80~84세,324
도봉2동,85세 이상,198
노원구,0~4세,24493
노원구,5~9세,28786
노원구,10~14세,41429
노원구,15~19세,46206
노원구,20~24세,40444
