행정구역별(읍면동),연령별,2010
창신2동,15~19세,700
창신2동,20~24세,692
창신2동,25~29세,824
창신2동,30~34세,730
창신2동,35~39세,860
창신2동,40~44세,948
창신2동,45~49세,957
창신2동,50~54세,818
창신2동,55~59세,662
창신2동,60~64세,527
창신2동,65~69세,493
창신2동,70~74세,335
창신2동,75~79세,214
창신2동,80~84세,102
창신2동,85세 이상,61
창신3동,0~4세,334
창신3동,5~9세,344
창신3동,10~14세,515
창신3동,15~19세,587
창신3동,20~24세,508
창신3동,25~29세,623
창신3동,30~34세,626
창신3동,35~39세,747
창신3동,40~44세,690
창신3동,45~49세,706
창신3동,50~54세,667
창신3동,55~59세,478
창신3동,60~64세,374
창신3동,65~69세,313
창신3동,70~74세,226
창신3동,75~79세,145
창신3동,80~84세,75
창신3동,85세 이상,48
숭인1동,0~4세,278
숭인1동,5~9세,292
숭인1동,10~14세,372
숭인1동,15~19세,429
숭인1동,20~24세,480
숭인1동,25~29세,674
숭인1동,30~34세,634
숭인1동,35~39세,627
숭인1동,40~44세,595
숭인1동,45~49세,565
숭인1동,50~54세,549
숭인1동,55~59세,411
숭인1동,60~64세,332
숭인1동,65~69세,302
숭인1동,70~74세,226
숭인1동,75~79세,137
숭인1동,80~84세,78
숭인1동,85세 이상,28
숭인2동,0~4세,270
숭인2동,5~9세,229
숭인2동,10~14세,335
숭인2동,15~19세,492
숭인2동,20~24세,642
숭인2동,25~29세,983
숭인2동,30~34세,845
숭인2동,35~39세,739
숭인2동,40~44세,621
숭인2동,45~49세,685
숭인2동,50~54세,701
숭인2동,55~59세,584
숭인2동,60~64세,446
숭인2동,65~69세,404
숭인2동,70~74세,313
숭인2동,75~79세,181
숭인2동,80~84세,80
숭인2동,85세 이상,49
청운효자동,0~4세,483
청운효자동,5~9세,687
청운효자동,10~14세,1044
청운효자동,15~19세,1081
청운효자동,20~24세,823
청운효자동,25~29세,934
청운효자동,30~34세,930
청운효자동,35~39세,1177
청운효자동,40~44세,1297
청운효자동,45~49세,1243
청운효자동,50~54세,1000
청운효자동,55~59세,684
청운효자동,60~64세,630
청운효자동,65~69세,611
청운효자동,70~74세,510
청운효자동,75~79세,343
청운효자동,80~84세,183
청운효자동,85세 이상,108
중구,0~4세,4339
중구,5~9세,4153
중구,10~14세,5274
중구,15~19세,6733
중구,20~24세,8566
중구,25~29세,11021
중구,30~34세,10409
중구,35~39세,10194
중구,40~44세,9444
중구,45~49세,9287
중구,50~54세,9539
중구,55~59세,7432
중구,60~64세,6220
중구,65~69세,5516
중구,70~74세,4204
중구,75~79세,2593
중구,80~84세,1455
중구,85세 이상,874
소공동,0~4세,40
소공동,5~9세,15
소공동,10~14세,11
소공동,15~19세,29
소공동,20~24세,62
소공동,25~29세,106
소공동,30~34세,124
소공동,35~39세,91
소공동,40~44세,55
소공동,45~49세,44
소공동,50~54세,47
소공동,55~59세,39
소공동,60~64세,19
소공동,65~69세,16
소공동,70~74세,19
