Admin,Age,Noedu,Primary,Middle,High,College,University,Master,Phd
Jung,70~74,0.118458611,0.36132255,0.176260704,0.208372978,0.027592769,0.091103711,0.009752617,0.007136061
Jung,75~79,0.200539915,0.358272272,0.145391438,0.170458928,0.024296182,0.080215966,0.014269186,0.006556113
Jung,80~84,0.263917526,0.389690722,0.120962199,0.131271478,0.025429553,0.056357388,0.008934708,0.003436426
Jung,85ov,0.3798627,0.345537757,0.112128146,0.073226545,0.028604119,0.056064073,0.004576659,0
Yongsan,6~9,0.190012877,0.809987123,0,0,0,0,0,0
Yongsan,10~14,0,0.53619094,0.460594252,0.003214808,0,0,0,0
Yongsan,15~19,8.47458E-05,0.000508475,0.141610169,0.623813559,0.079830508,0.154152542,0,0
Yongsan,20~24,0.000919183,0.000565651,0.003464611,0.123594711,0.245068232,0.608357491,0.017535176,0.000494944
Yongsan,25~29,0.00052254,0.000665052,0.00541542,0.150491663,0.205690941,0.540354377,0.086979241,0.009880766
Yongsan,30~34,0.000723798,0.002219649,0.006996719,0.191227562,0.184665123,0.478479058,0.11402239,0.021665702
Yongsan,35~39,0.001200653,0.003986168,0.017193353,0.274517337,0.155028335,0.391076746,0.124387667,0.03260974
Yongsan,40~44,0.003055556,0.008055556,0.034388889,0.343055556,0.124944444,0.344611111,0.101555556,0.040333333
Yongsan,45~49,0.004343629,0.031491313,0.072997104,0.386040058,0.098274614,0.289937259,0.079271236,0.037644788
Yongsan,50~54,0.006696293,0.062458148,0.122237779,0.403055944,0.074998478,0.233030986,0.064710538,0.032811834
Yongsan,55~59,0.010829475,0.110962882,0.167072118,0.383504669,0.054853645,0.198854273,0.046378404,0.027544534
Yongsan,60~64,0.021886933,0.182453199,0.203595045,0.334357828,0.041445469,0.164291702,0.033342647,0.018627177
Yongsan,65~69,0.047699809,0.245389018,0.194297223,0.280792877,0.035403858,0.156137375,0.029255883,0.011023956
Yongsan,70~74,0.086601098,0.286115724,0.164644271,0.232596756,0.036403117,0.155830885,0.023246903,0.014561247
Yongsan,75~79,0.125436973,0.303516348,0.143738433,0.20789636,0.034957845,0.142504627,0.026938104,0.01501131
Yongsan,80~84,0.207340144,0.337116913,0.105561862,0.167612561,0.040862656,0.109723799,0.021188044,0.010594022
Yongsan,85ov,0.323303457,0.336747759,0.104993598,0.09731114,0.033930858,0.088348271,0.005121639,0.010243278
Seongdong,6~9,0.194272217,0.805727783,0,0,0,0,0,0
Seongdong,10~14,0,0.537283622,0.46011984,0.002596538,0,0,0,0
Seongdong,15~19,0.000514021,0.000799589,0.136158547,0.634416586,0.095950654,0.132160603,0,0
Seongdong,20~24,0.000336943,0.000433213,0.0044284,0.132611312,0.287316486,0.558604091,0.015932611,0.000336943
Seongdong,25~29,0.000844037,0.000623853,0.005137615,0.16146789,0.229981651,0.515009174,0.077357798,0.009577982
Seongdong,30~34,0.001103375,0.001407754,0.008408477,0.211543583,0.198797702,0.460678005,0.099912491,0.018148613
Seongdong,35~39,0.000862038,0.003807335,0.021048095,0.323874861,0.158650911,0.367371862,0.100391509,0.023993391
Seongdong,40~44,0.002186649,0.013326182,0.056770361,0.434400528,0.117831504,0.290370493,0.065847017,0.019267266
Seongdong,45~49,0.004073944,0.05112143,0.127562642,0.462239355,0.083318731,0.217802698,0.038768179,0.015113019
Seongdong,50~54,0.006508849,0.094645803,0.185502207,0.446257412,0.060050823,0.160492176,0.034639561,0.01190317
Seongdong,55~59,0.011334939,0.157514536,0.22382099,0.378986316,0.04199213,0.145651025,0.031127034,0.009573031
Seongdong,60~64,0.027253819,0.234884888,0.233091874,0.319730331,0.030409524,0.128451553,0.019149394,0.007028617
Seongdong,65~69,0.064942874,0.313461043,0.216819861,0.245597457,0.025942788,0.110213899,0.015892105,0.007129972
Seongdong,70~74,0.115797897,0.364311843,0.185185185,0.200731596,0.023090992,0.093392775,0.012574303,0.004915409
Seongdong,75~79,0.185835694,0.364494806,0.153729934,0.170538244,0.022851747,0.083852691,0.011898017,0.006798867
Seongdong,80~84,0.293591654,0.380774963,0.109538003,0.111400894,0.024962742,0.066691505,0.0085693,0.004470939
Seongdong,85ov,0.434391851,0.34691432,0.080886759,0.073696824,0.013780707,0.043738766,0.004793289,0.001797484
Gwangjin,6~9,0.194678724,0.805321276,0,0,0,0,0,0
Gwangjin,10~14,0,0.525308209,0.472536835,0.002154956,0,0,0,0
Gwangjin,15~19,0.00032838,0.001026188,0.14009523,0.626426402,0.081930876,0.150192923,0,0
Gwangjin,20~24,0.000533422,0.000333389,0.003333889,0.121420237,0.274079013,0.582530422,0.017436239,0.000333389
Gwangjin,25~29,0.000747161,0.000672445,0.00520522,0.149033672,0.250398486,0.518106196,0.069635386,0.006201435
