code,gu,subdis,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80-84,age85ov
1101053,Jongno,Sajik,17,23,30,37,37,40,33,34,14,38,28,23,22,18,12,7,5
1101054,Jongno,Samcheong,7,8,8,12,12,10,10,12,5,12,10,9,8,7,5,3,3
1101055,Jongno,Buam,33,43,39,32,29,32,46,46,18,43,30,25,24,20,14,7,6
1101056,Jongno,Pyeongchang,55,71,59,56,49,58,74,88,32,82,60,46,41,34,23,15,15
1101057,Jongno,Muak,25,25,23,24,26,38,38,37,22,33,23,19,17,14,9,5,3
1101058,Jongno,Gyonam,18,21,27,35,36,39,30,28,15,30,25,23,21,16,8,5,3
1101060,Jongno,Gahoe,15,17,13,19,19,20,22,19,9,19,15,13,14,10,7,4,3
1101061,Jongno,Jongno 1.2.3.4-ga,6,9,25,38,29,23,21,21,5,25,23,19,17,12,8,4,3
1101063,Jongno,Jongno 5.6-ga,13,17,20,21,15,17,20,21,6,18,14,13,12,9,6,5,2
1101064,Jongno,Ewha,21,26,61,74,42,34,29,31,11,29,22,18,16,14,9,5,3
1101067,Jongno,Changshin1,14,17,23,24,18,21,23,27,9,25,19,17,14,10,5,4,2
1101068,Jongno,Changshin2,28,35,35,41,37,43,47,48,18,41,33,26,25,17,11,5,3
1101069,Jongno,Changshin3,26,29,25,31,31,37,35,35,17,33,24,19,16,11,7,4,2
1101070,Jongno,Soongin1,19,21,24,34,32,31,30,28,15,27,21,17,15,11,7,4,1
1101071,Jongno,Soongin2,17,25,32,49,42,37,31,34,11,35,29,22,20,16,9,4,2
1101072,Jongno,Cheongwoonhyoja,52,54,41,47,47,59,65,62,34,50,34,32,31,26,17,9,5
1101073,Jongno,Hyehwa,30,68,77,87,49,45,41,37,21,33,27,23,22,19,11,7,5
1102052,Jung,Sogong,1,1,3,5,6,5,3,2,1,2,2,1,1,1,1,0,0
1102054,Jung,Hoehyun,6,9,12,15,13,13,16,21,4,26,19,16,13,10,5,4,2
1102055,Jung,Myungdong,3,5,9,11,10,9,9,8,2,9,8,7,6,4,3,1,1
1102057,Jung,Pildong,8,10,19,23,14,13,12,12,6,16,12,10,9,7,6,3,2
1102058,Jung,Jangchoong,8,18,50,44,22,18,15,14,7,12,11,10,10,8,4,3,2
1102059,Jung,Gwanghee,6,12,19,24,20,18,15,18,6,22,15,13,12,8,5,4,2
1102060,Jung,Euljiro,2,2,8,9,6,5,5,5,1,6,5,4,4,3,2,1,1
1102065,Jung,Shindang5,20,22,22,29,29,29,32,35,13,28,22,20,17,14,9,4,2
1102067,Jung,Hwanghak,21,27,37,57,68,53,43,42,17,45,39,33,25,17,11,6,3
1102068,Jung,Jungrim,29,37,40,47,50,48,50,49,20,46,35,32,29,22,13,8,4
1102069,Jung,Shindang,17,27,26,30,27,28,32,31,12,28,21,19,17,13,7,4,3
1102070,Jung,Dasan,39,46,52,80,70,68,62,59,27,59,47,38,36,25,16,8,4
1102071,Jung,Yaksu,37,43,55,82,85,90,72,71,35,81,65,52,45,35,22,12,8
1102072,Jung,Cheonggu,41,48,50,64,68,72,66,63,35,57,44,35,33,28,18,10,6
1102073,Jung,Donghwa,26,30,27,33,33,41,41,37,23,39,26,22,19,16,10,5,3
1103051,Yongsan,Huam,47,55,51,74,82,79,74,70,36,66,50,47,39,30,17,12,8
1103052,Yongsan,Yongsan2-ga,30,34,35,60,61,51,44,45,21,52,37,33,27,24,13,9,5
1103053,Yongsan,Namyeong,11,16,24,38,30,28,29,29,7,28,26,18,16,14,7,5,2
1103057,Yongsan,Wonhyo-ro2,47,48,39,53,66,74,69,65,38,55,42,34,29,25,15,8,5
1103058,Yongsan,Hyochang,32,34,32,46,47,51,48,42,26,38,28,25,23,21,12,6,5
1103059,Yongsan,Yongmoon,33,32,33,52,59,65,54,46,28,46,37,31,26,21,12,7,3
1103063,Yongsan,Ichon1,81,65,56,72,89,136,131,101,82,93,66,49,47,42,32,16,8
1103064,Yongsan,Ichon2,20,21,28,40,42,46,36,33,20,40,34,28,22,17,11,6,3
1103065,Yongsan,Itaewon1,11,16,24,40,34,32,27,27,10,30,25,18,18,17,12,7,3
1103066,Yongsan,Itaewon2,20,23,27,49,46,44,36,35,17,38,31,29,28,22,14,6,4
1103069,Yongsan,Seobinggo,27,28,25,32,38,45,46,43,22,39,28,27,23,25,17,10,5
1103070,Yongsan,Bogwang,36,47,56,88,81,76,70,66,27,65,47,44,38,30,18,8,5
1103071,Yongsan,Cheongpa,52,89,122,139,108,93,82,78,35,67,54,46,42,32,17,9,6
1103072,Yongsan,Wonhyo-ro1,18,21,35,63,64,55,34,32,15,35,27,24,19,14,9,4,3
1103073,Yongsan,Hangang-ro,19,25,55,91,82,66,48,48,20,57,46,37,30,23,14,9,6
1103074,Yongsan,Hannam,31,38,65,117,108,99,72,69,28,72,60,49,45,35,21,11,6
1104052,Seongdong,Wangshipni2,50,58,56,75,82,89,77,70,40,68,53,46,35,26,15,8,5
1104054,Seongdong,Majangdong,69,76,88,107,99,104,100,96,56,92,71,60,48,35,23,10,7
1104055,Seongdong,Sageun,19,54,150,128,41,33,28,29,13,28,24,23,22,16,8,5,2
1104056,Seongdong,Hengdang1,41,53,67,86,77,78,67,62,34,66,48,40,35,26,17,7,5
