gu,code,subdis
Seongbuk,1108061,Bomun
Seongbuk,1108062,Jungneung1
Seongbuk,1108063,Jungneung2
Seongbuk,1108064,Jungneung3
Seongbuk,1108065,Jungneung4
Seongbuk,1108066,Gireum1
Seongbuk,1108068,Gireum2
Seongbuk,1108071,Wolgok1
Seongbuk,1108072,Wolgok2
Seongbuk,1108076,Jangwi1
Seongbuk,1108077,Jangwi2
Seongbuk,1108078,Jangwi3
Seongbuk,1108081,Seongbuk
Seongbuk,1108082,Samsun
Seongbuk,1108083,Dongsun
Seongbuk,1108084,Jongam
Seongbuk,1108085,Seokgwan
Gangbuk,1109060,Beon1
Gangbuk,1109061,Beon2
Gangbuk,1109062,Beon3
Gangbuk,1109063,Suyu1
Gangbuk,1109064,Suyu2
Gangbuk,1109065,Suyu3
Gangbuk,1109069,Samyang
Gangbuk,1109070,Mia
Gangbuk,1109071,Songjung
Gangbuk,1109072,Songchun
Gangbuk,1109073,Samgaksan
Gangbuk,1109074,Ui
Gangbuk,1109075,Insoo
Dobong,1110051,Ssangmun1
Dobong,1110052,Ssangmun2
Dobong,1110053,Ssangmun3
Dobong,1110054,Ssangmun4
Dobong,1110055,Banghak1
Dobong,1110056,Banghak2
Dobong,1110057,Banghak3
Dobong,1110059,Chang1
Dobong,1110060,Chang2
Dobong,1110061,Chang3
Dobong,1110062,Chang4
Dobong,1110063,Chang5
Dobong,1110064,Dobong1
Dobong,1110065,Dobong2
Nowon,1111051,Wolgye1
Nowon,1111052,Wolgye2
Nowon,1111053,Wolgye3
Nowon,1111056,Gongneung2
Nowon,1111058,Hagye1
Nowon,1111059,Hagye2
Nowon,1111060,Junggyebon
Nowon,1111061,Junggye1
Nowon,1111064,Junggye4
Nowon,1111065,Sanggye1
Nowon,1111066,Sanggye2
Nowon,1111069,Sanggye5
Nowon,1111072,Sanggye8
Nowon,1111073,Sanggye9
Nowon,1111074,Sanggye10
Nowon,1111076,Sanggye3.4
Nowon,1111077,Sanggye6.7
Nowon,1111078,Junggye2.3
Nowon,1111079,Gongneung1
Eunpyeong,1112051,Nokbun
Eunpyeong,1112052,Bulgwang1
Eunpyeong,1112055,Galhyun1
Eunpyeong,1112056,Galhyun2
Eunpyeong,1112057,Gusan
Eunpyeong,1112058,Daejo
Eunpyeong,1112059,Eungam1
Eunpyeong,1112060,Eungam2
Eunpyeong,1112065,Shinsa1
Eunpyeong,1112066,Shinsa2
Eunpyeong,1112067,Jeungsan
Eunpyeong,1112068,Susaek
Eunpyeong,1112071,Jingwan
Eunpyeong,1112072,Bulgwang2
Eunpyeong,1112073,Eungam3
Eunpyeong,1112074,Yeokchon
Seodaemoon,1113052,Cheonyeon
Seodaemoon,1113062,Hongjae1
Seodaemoon,1113064,Hongjae3
Seodaemoon,1113065,Hongjae2
Seodaemoon,1113066,Hongeun1
Seodaemoon,1113068,Hongeun2
Seodaemoon,1113069,Namgaja1
Seodaemoon,1113070,Namgaja2
Seodaemoon,1113071,Bukgaja1
Seodaemoon,1113072,Bukgaja2
Seodaemoon,1113073,Chunghyun
Seodaemoon,1113074,Bukahyun
Seodaemoon,1113075,Shinchon
Seodaemoon,1113076,Yeonhee
Mapo,1114059,Yonggang
Mapo,1114060,Daeheung
Mapo,1114061,Yeomni
Mapo,1114063,Sinsoo
Mapo,1114066,Seogyo
Mapo,1114068,Hapjeong
Mapo,1114069,Mangwon1
Mapo,1114070,Mangwon2
Mapo,1114071,Yeonnam
Mapo,1114072,Seongsan1
Mapo,1114073,Seongsan2
Mapo,1114074,Sangam
Mapo,1114075,Dohwa
Mapo,1114076,Seogang
Mapo,1114077,Gongdeok
Mapo,1114078,Ahyun
Yangchun,1115051,Mok1
Yangchun,1115052,Mok2
Yangchun,1115053,Mok3
Yangchun,1115054,Mok4
Yangchun,1115057,Shinwol1
Yangchun,1115058,Shinwol2
Yangchun,1115059,Shinwol3
Yangchun,1115060,Shinwol4
Yangchun,1115061,Shinwol5
Yangchun,1115062,Shinwol6
Yangchun,1115063,Shinwol7
Yangchun,1115064,Shinjeong1
Yangchun,1115065,Shinjeong2
Yangchun,1115066,Shinjeong3
Yangchun,1115069,Shinjeong6
Yangchun,1115070,Shinjeong7
Yangchun,1115071,Mok5
Yangchun,1115072,Shinjeong4
Gangseo,1116051,Yeomchang
Gangseo,1116052,Deungchon1
Gangseo,1116053,Deungchon2
Gangseo,1116054,Deungchon3
Gangseo,1116055,Hwagokbon
Gangseo,1116057,Hwagok2
Gangseo,1116058,Hwagok3
Gangseo,1116059,Hwagok4
Gangseo,1116061,Hwagok6
Gangseo,1116063,Hwagok8
Gangseo,1116064,Gayang1
Gangseo,1116065,Gayang2
Gangseo,1116066,Gayang3
Gangseo,1116067,Balsan1
Gangseo,1116069,Gonghang
Gangseo,1116070,Banghwa1
Gangseo,1116071,Banghwa2
Gangseo,1116072,Banghwa3
Gangseo,1116073,Hwagok1
Gangseo,1116074,Woojangsan
Guro,1117051,Shindorim
Guro,1117052,Guro1
Guro,1117054,Guro2
Guro,1117055,Guro3
Guro,1117056,Guro4
Guro,1117061,Gocheok1
Guro,1117062,Gocheok2
Guro,1117064,Gaebong2
Guro,1117065,Gaebong3
Guro,1117067,Oryu1
Guro,1117068,Oryu2
Guro,1117069,Sugung
Guro,1117070,Garibong
Guro,1117071,Guro2
Guro,1117072,Gaebong1
Gumcheon,1118051,Gasan1
Gumcheon,1118052,Doksan1
Gumcheon,1118053,Doksan2
Gumcheon,1118054,Doksan3
Gumcheon,1118055,Doksan4
Gumcheon,1118057,Shiheung1
Gumcheon,1118058,Shiheung2
Gumcheon,1118059,Shiheung3
Gumcheon,1118060,Shiheung4
Gumcheon,1118061,Shiheung5
Yeongdeungpo,1119054,Yeoeui
Yeongdeungpo,1119055,Dangsan1
Yeongdeungpo,1119056,Dangsan2
Yeongdeungpo,1119061,Yangpyeong1
