"gu","code","admin_cd","subdis","20s","30s","40s","50s","60over"
"Jungnang",1107065,11260630,"Mook2",2366,3228,3930,4073,3429
"Jungnang",1107068,11260660,"Mangwoo",2181,3109,3653,3660,3143
"Jungnang",1107069,11260680,"Shinnae1",2355,3405,4305,4453,3673
"Jungnang",1107070,11260690,"Shinnae2",2301,3385,4413,4593,3663
"Jungnang",1107071,11260565,"Myeonmokbon",2311,3099,3783,3791,3182
"Jungnang",1107072,11260575,"Myeonmok3.8",2341,3168,3884,3957,3304
"Jungnang",1107073,11260655,"Mangwoobon",2310,3174,3993,4016,3368
"Seongbuk",1108058,11290580,"Donam1",2413,3557,4707,4802,3761
"Seongbuk",1108059,11290590,"Donam2",2572,3778,5115,5393,4008
"Seongbuk",1108060,11290600,"Anam",2528,3269,4257,4459,3633
"Seongbuk",1108061,11290610,"Bomun",2463,3281,4134,4239,3455
"Seongbuk",1108062,11290620,"Jungneung1",2491,3617,4617,4928,3666
"Seongbuk",1108063,11290630,"Jungneung2",2407,3357,4333,4509,3624
"Seongbuk",1108064,11290640,"Jungneung3",2389,3128,4056,4101,3299
"Seongbuk",1108065,11290650,"Jungneung4",2358,3410,4484,4616,3620
"Seongbuk",1108066,11290660,"Gireum1",2664,3992,5051,5231,3920
"Seongbuk",1108068,11290685,"Gireum2",2301,3403,4398,4526,3438
"Seongbuk",1108071,11290715,"Wolgok1",2486,3539,4544,4507,3640
"Seongbuk",1108072,11290725,"Wolgok2",2416,3425,4404,4494,3668
"Seongbuk",1108076,11290760,"Jangwi1",2334,3097,3824,3874,3159
"Seongbuk",1108077,11290770,"Jangwi2",2364,3152,3862,3925,3315
"Seongbuk",1108078,11290780,"Jangwi3",2337,3193,4087,4253,3334
"Seongbuk",1108081,11290525,"Seongbuk",2451,3492,4525,4810,3966
"Seongbuk",1108082,11290555,"Samsun",2438,3427,4613,4873,3745
"Seongbuk",1108083,11290575,"Dongsun",2459,3317,4393,4426,3375
"Seongbuk",1108084,11290705,"Jongam",2465,3568,4583,4559,3609
"Seongbuk",1108085,11290810,"Seokgwan",2418,3315,4131,4189,3484
"Gangbuk",1109060,11305590,"Beon1",2390,3079,3846,3915,3332
"Gangbuk",1109061,11305600,"Beon2",2265,3087,3836,4004,3313
"Gangbuk",1109062,11305606,"Beon3",2199,3216,4013,4196,3296
"Gangbuk",1109063,11305610,"Suyu1",2289,3105,3778,3781,3125
"Gangbuk",1109064,11305620,"Suyu2",2299,3189,4025,4176,3408
"Gangbuk",1109065,11305630,"Suyu3",2349,3019,3705,3857,3132
"Gangbuk",1109069,11305534,"Samyang",2342,3187,3962,4021,3276
"Gangbuk",1109070,11305535,"Mia",2359,3107,3834,3955,3222
"Gangbuk",1109071,11305545,"Songjung",2376,3102,3934,4035,3291
"Gangbuk",1109072,11305555,"Songchun",2381,3176,3995,3953,3204
"Gangbuk",1109073,11305575,"Samgaksan",2433,3722,4840,4862,3877
"Gangbuk",1109074,11305645,"Ui",2278,3117,3903,4076,3328
"Gangbuk",1109075,11305660,"Insoo",2235,3071,3800,3949,3211
"Dobong",1110051,11320660,"Ssangmun1",2323,3170,3981,4076,3372
"Dobong",1110052,11320670,"Ssangmun2",2297,3087,3924,4093,3391
