"gu","code","admin_cd","subdis","20s","30s","40s","50s","60over"
"Gangnam",1123065,11680650,"Yeoksam2",2943,4119,5889,6356,4762
"Gangnam",1123066,11680655,"Dogok1",3023,4350,6025,6608,5294
"Gangnam",1123067,11680656,"Dogok2",3073,4538,6555,7148,5794
"Gangnam",1123068,11680660,"Gaepo1",2750,3866,5303,5737,4801
"Gangnam",1123071,11680690,"Gaepo4",2876,3727,4847,5203,4493
"Gangnam",1123072,11680720,"Ilwonbon",3040,4354,5865,6483,5284
"Gangnam",1123073,11680730,"Ilwon1",2902,3687,4669,4901,4095
"Gangnam",1123074,11680740,"Ilwon2",2944,4067,5396,5914,4555
"Gangnam",1123075,11680750,"Suseo",2798,3826,4865,5105,4227
"Gangnam",1123076,11680700,"Segok",2517,3756,4736,5163,4061
"Gangnam",1123077,11680545,"Apgujeong1",2915,4461,6297,6869,5282
"Gangnam",1123078,11680565,"Cheongdam",2966,4214,5897,6526,5356
"Gangnam",1123079,11680610,"Daechi2",2926,4153,6235,6800,5404
"Gangnam",1123080,11680670,"Gaepo2",2762,3818,5287,5823,4684
"Songpa",1124051,11710510,"Pungnap1",2587,3446,4467,4409,3647
"Songpa",1124052,11710520,"Pungnap2",2880,3935,4998,5239,4263
"Songpa",1124053,11710531,"Geoyeo1",2610,3557,4504,4715,3991
"Songpa",1124054,11710532,"Geoyeo2",2564,3530,4539,4623,3919
"Songpa",1124055,11710540,"Macheon1",2529,3342,4127,4289,3548
"Songpa",1124056,11710550,"Macheon2",2559,3385,4148,4324,3641
"Songpa",1124057,11710561,"Bangi1",2580,3695,4984,5472,4521
"Songpa",1124058,11710562,"Bangi2",2692,3554,4428,4569,3846
"Songpa",1124059,11710566,"Oryun",2745,4117,6204,6811,5517
"Songpa",1124060,11710570,"Ogeum",2655,3670,4829,5225,4538
"Songpa",1124061,11710580,"Songpa1",2716,3590,4555,4879,4091
"Songpa",1124062,11710590,"Songpa2",2696,4001,5315,5859,4754
"Songpa",1124063,11710600,"Seokchon",2673,3520,4397,4580,3856
"Songpa",1124064,11710610,"Samjeon",2649,3481,4343,4473,3777
"Songpa",1124065,11710620,"Garakbon",2707,3798,4910,5308,4574
"Songpa",1124066,11710631,"Garak1",2599,3471,4521,4718,3969
"Songpa",1124067,11710632,"Garak2",2675,3800,5209,5550,4609
"Songpa",1124068,11710641,"Munjeong1",2725,3660,4965,5411,4721
"Songpa",1124069,11710642,"Munjeong2",2842,4008,5385,6181,5123
"Songpa",1124081,11710646,"Jangji",2637,3849,4754,4893,4030
"Songpa",1124071,11710650,"Jamshilbon",2713,3549,4587,4872,4104
"Songpa",1124075,11710690,"Jamshil4",2971,4449,6017,6286,5161
"Songpa",1124077,11710710,"Jamshil6",2843,4238,5911,6511,5180
"Songpa",1124078,11710720,"Jamshil7",2913,4254,6263,6724,5327
"Songpa",1124079,11710670,"Jamshil2",3107,4698,6286,6656,5056
"Songpa",1124080,11710680,"Jamshil3",3115,4429,6069,6449,5198
"Gangdong",1125051,11740515,"Gangil",2510,3698,4533,4667,3837
"Gangdong",1125052,11740520,"Sangil",2460,3440,4608,5066,4087
"Gangdong",1125053,11740530,"Myeongil1",2544,3636,4928,5186,4255
"Gangdong",1125054,11740540,"Myeongil2",2599,3686,5449,5789,4903
"Gangdong",1125055,11740550,"Godeok1",2502,3626,5033,5222,4333
"Gangdong",1125056,11740560,"Godeok2",2503,3273,4115,4272,3598
"Gangdong",1125058,11740580,"Amsa2",2624,3822,4950,5077,4103
"Gangdong",1125059,11740590,"Amsa3",2718,3934,5310,5543,4500
"Gangdong",1125061,11740600,"Cheonho1",2546,3269,4162,4212,3512
"Gangdong",1125063,11740620,"Cheonho3",2547,3410,4192,4292,3756
"Gangdong",1125065,11740640,"Seongnae1",2602,3627,4630,4840,4025
"Gangdong",1125066,11740650,"Seongnae2",2610,3411,4234,4255,3561
"Gangdong",1125067,11740660,"Seongnae3",2589,3449,4370,4524,3759
"Gangdong",1125070,11740690,"Dunchon1",2644,3674,5135,5571,4829
"Gangdong",1125071,11740700,"Dunchon2",2613,3616,4692,5003,4129
"Gangdong",1125072,11740570,"Amsa1",2511,3426,4312,4489,3677
"Gangdong",1125073,11740610,"Cheonho2",2531,3383,4201,4284,3584
"Gangdong",1125074,11740685,"Gildong",2595,3465,4428,4620,3915
