no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
42,2010-01-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,32,32,42,34,37,34,32,37,32,42,34,-999,-999,-999,-999,-999
43,2010-01-22,pm10,home,36.03448276,34.93103448,33.89655172,36.31034483,41.51724138,39.5862069,42.62068966,51,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35,37,32,34,22
44,2010-01-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,54.06896552,53.27586207,64.6,56.32,50.4137931,29,32,30,30,37,38,-999,-999,-999,-999,-999
45,2010-01-23,pm10,home,24,30,27,28,30,29,34,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39,41,42,34,33
46,2010-01-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,47,46,33,38,46,41,39,33,31,37,-999,-999,-999,-999,-999
47,2010-01-24,pm10,home,33,35,38,39,34,39,34,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,80,78,71,66,64
48,2010-01-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,44,34,46,56,56,55,40,51,64,72,-999,-999,-999,-999,-999
49,2010-01-25,pm10,home,77,83,85,86,101,110,115,116,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58,51,53,46,54
50,2010-01-25,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,130,149,214,215,139,85,71,74,68,72,59,-999,-999,-999,-999,-999
51,2010-01-26,pm10,home,53,47,45,45,51,42,39,47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,54,55,51,48
52,2010-01-26,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,50,42,52,64,59,56,48,44,41,41,44,-999,-999,-999,-999,-999
53,2010-01-27,pm10,home,55,50,49,47,53,48,51,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,40,39,36,31
54,2010-01-27,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,59,57,54,52,57,50,52,52,48,45,43,-999,-999,-999,-999,-999
55,2010-01-28,pm10,home,31.86206897,32.86206897,35.51724138,35.51724138,35.82758621,34.89655172,37.93103448,40.31034483,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,33,28,22,22
56,2010-01-28,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41.93103448,43.72413793,42.13793103,35.5862069,34.10344828,59,60,60,44,50,52,-999,-999,-999,-999,-999
57,2010-01-29,pm10,home,21,18,19,17,22,18,21,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57,58,62,64,60
58,2010-01-29,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,32,25,46,41,49,48,44,36,32,54,54,-999,-999,-999,-999,-999
59,2010-01-30,pm10,home,60,66,67,60,59,55,60,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,64,49,55,60,58
60,2010-01-30,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,62,63,63,72,79,86,89,91,82,82,79,-999,-999,-999,-999,-999
61,2010-01-31,pm10,home,63,65,60,61,55,63,61,64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,116,118,111,112,112
