no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
41,2010-01-21,pm10,home,52,33,41,39,35,36,61,35,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,51,53,60,53,66
42,2010-01-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,35,32,52,56,65,54,65,45,41,66,44,-999,-999,-999,-999,-999
43,2010-01-22,pm10,home,44,39,48,45,24,45,51,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72,76,81,62,59
44,2010-01-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,53,33,62,59,38,50,56,67,54,62,-999,-999,-999,-999,-999
45,2010-01-23,pm10,home,36,50,53,50,49,67,53,66,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,72,55,38,62,41
46,2010-01-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,46,75,66,65,58,75,61,64,70,66,-999,-999,-999,-999,-999
47,2010-01-24,pm10,home,53,43,44,57.24137931,52,54,68,49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,117,85,88,78,92
48,2010-01-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,39,56,53,71,67,64,62,59,92,88,-999,-999,-999,-999,-999
49,2010-01-25,pm10,home,107,98,112,138,112,144,162,163,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,117,109,110,109,93
50,2010-01-25,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,204,287,368,332,275,183,181,159,136,137,115,-999,-999,-999,-999,-999
51,2010-01-26,pm10,home,116,89,74,69,57,50,57,64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,68,64,53,45,48
52,2010-01-26,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,79,71,66,91,79,74,65,77,51,58,66,-999,-999,-999,-999,-999
53,2010-01-27,pm10,home,62,36,64,45,60,42,53,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,29,28,43,30
54,2010-01-27,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,42,56,54,79,68,85,73,77,90,59,36,-999,-999,-999,-999,-999
55,2010-01-28,pm10,home,46,54,62,63,54,48,47,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65,57,64,47,57
56,2010-01-28,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,57,63,98,94,102,92,104,71,93,69,55,-999,-999,-999,-999,-999
57,2010-01-29,pm10,home,38.8,34,20,14,19,22,12,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,61,77,93,85,93
58,2010-01-29,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,38,47,64,54,53,52,48,68,60,52,70,-999,-999,-999,-999,-999
59,2010-01-30,pm10,home,91,95,95,79,70,61,56,80,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,84,61,85,76,78
60,2010-01-30,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,76,77,93,101,98,122,112,112,97,93,85,-999,-999,-999,-999,-999
61,2010-01-31,pm10,home,85,63,85,65,86,75,74,56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,145,158,158,151,146
62,2010-01-31,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,94,92,111,121,108,129,134,151,138,140,162,-999,-999,-999,-999,-999
63,2010-02-01,pm10,home,134,142,140,136,123,143,126,126,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,97,99,84,69,60
64,2010-02-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,130,154,164,166,173,171,118,110,94,95,97,-999,-999,-999,-999,-999
65,2010-02-02,pm10,home,34,38,29,20,36,19,13,13,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,27,23,45,26
66,2010-02-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,27,16,22,40,40,21,26,55.12,51,49.92307692,56.5,-999,-999,-999,-999,-999
67,2010-02-03,pm10,home,71,53,33,36,49,51,50,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36,37,41,37,48
68,2010-02-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,61,35,41,40,33,36,37,39,45,38,49,-999,-999,-999,-999,-999
