no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
42,2010-01-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,37,33,40,45,46,41,49,47,48,46,46,-999,-999,-999,-999,-999
43,2010-01-22,pm10,home,38,40,34,31,30,25,23,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,51,49,49,47,40
44,2010-01-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,32,30,36,37,38,35,42,43,51,47,48,-999,-999,-999,-999,-999
45,2010-01-23,pm10,home,38,32,38,38,41,37,42,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54,53,47,43,40
46,2010-01-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,47,55,64,52,55,64,61,52,55,52,61,-999,-999,-999,-999,-999
47,2010-01-24,pm10,home,38,42,58,47,46,45,43,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,91,87,80,76,74
48,2010-01-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,46,47,49,56,56,63,62,59,69,80,85,-999,-999,-999,-999,-999
49,2010-01-25,pm10,home,84,86,91,86,99,110,118,141,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,83,74,76,78,79
50,2010-01-25,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,149,189,316,334,233,144,121,129,104,109,95,-999,-999,-999,-999,-999
51,2010-01-26,pm10,home,74,68,68,59,60,63,65,65,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49,55,62,58,56
52,2010-01-26,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,73,74,80,76,82,68,60,55,52,46,48,-999,-999,-999,-999,-999
53,2010-01-27,pm10,home,63,52,57,51,51,53,51,47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,23,15,32,25,35
54,2010-01-27,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,47,47,54,59,52,51,74,74,60,43,36,-999,-999,-999,-999,-999
55,2010-01-28,pm10,home,30,39,30,25,13,14,13,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58,44,29,31,36
56,2010-01-28,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,43,65,78,83,87,71,78,80,70,68,55,-999,-999,-999,-999,-999
57,2010-01-29,pm10,home,36,21,18,19,20,24,31,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58,79,76,76,77
58,2010-01-29,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,34,42,57,53,54,58,48,44,53,58,59,-999,-999,-999,-999,-999
59,2010-01-30,pm10,home,78,82,74,72,65,61,65,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62,51,62,68,69
60,2010-01-30,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,69,83,94,100,94,100,101,98,85,83,72,-999,-999,-999,-999,-999
61,2010-01-31,pm10,home,61,68,60,63,62,63,59,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,106,138,135,123,115
62,2010-01-31,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,61,66,71,89,105,92,110,115,109,112,117,-999,-999,-999,-999,-999
63,2010-02-01,pm10,home,108,112,113,107,100,133,120,118,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49,71,76,65,49
64,2010-02-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,128,129,119,113,103.8333333,80.5,69.03333333,109,75,70,59,-999,-999,-999,-999,-999
65,2010-02-02,pm10,home,40,29,16,24,19,18,19,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,26,27,24,22,36
66,2010-02-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,11,20,15,20,19,20,25,28,29,35,27,-999,-999,-999,-999,-999
67,2010-02-03,pm10,home,35,39,40,48,44,50,48,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,37,26,38,40,38
68,2010-02-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,37,29,34,33,28,32,32,38,40,42,36,-999,-999,-999,-999,-999
69,2010-02-04,pm10,home,40,34,51,31,39,36,37,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,48,63,54,43
70,2010-02-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,45,46,43,43,44,46,46,39,30,35,-999,-999,-999,-999,-999
71,2010-02-05,pm10,home,39,27,24,28,28,39,38,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,38,27,28,30
72,2010-02-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,42,36,30,39,39,45,32,25,29,33,26,-999,-999,-999,-999,-999
73,2010-02-06,pm10,home,29,39,37,41,42,45,35,44,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,51,54,59,53,55
74,2010-02-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,45,68,61,61,46,55,65,59,47,66,54,-999,-999,-999,-999,-999
75,2010-02-07,pm10,home,51,54,49,52,47,58,58,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52,68,61,57,58
76,2010-02-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,56,53,41,42,40,41,45,49,33,28,34,-999,-999,-999,-999,-999
77,2010-02-08,pm10,home,46,42,39,45,39,40,42,50,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,83,80,86,64,56
78,2010-02-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,47,59,46,51,52,44,38,32,41,67,81,-999,-999,-999,-999,-999
79,2010-02-09,pm10,home,59,51,63,54,46,44,39,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,47,43,53,44,36
80,2010-02-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,39,42,64,65,48,69,88,62,43,41,-999,-999,-999,-999,-999
81,2010-02-10,pm10,home,43,35,36,40,34,38,35,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12,11,20,18,12
82,2010-02-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,33,32,33,30,28,37,45,28,19,25,17,-999,-999,-999,-999,-999
