no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
42,2010-01-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,36,36,42,51,52,55,64.92592593,59.33333333,53,51,50,-999,-999,-999,-999,-999
43,2010-01-22,pm10,home,36,38,33,31,28,26,30,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,51,57,62,53,44
44,2010-01-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,36,39,37,48,38,42,40,48,53,61,48,-999,-999,-999,-999,-999
45,2010-01-23,pm10,home,48,42,40,41,46,47,47,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,54,50,46,42
46,2010-01-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,52,52,53,65,62,66,56,60,61,74,46,-999,-999,-999,-999,-999
47,2010-01-24,pm10,home,41,36,35,38,34,37,39,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,90,85,82,77,96
48,2010-01-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,43,49,52,57,68,61,52,65,90,95,-999,-999,-999,-999,-999
49,2010-01-25,pm10,home,101,107,109,101,108,120,162,168,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,91,86,84,88,82
50,2010-01-25,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,160,229,343,351,243,148,111,107,114,112,92,-999,-999,-999,-999,-999
51,2010-01-26,pm10,home,76,72,63,54,51,49,48,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,47,43,56,47,50
52,2010-01-26,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,60,51,60,63,72,66,66,59,62,61,52,-999,-999,-999,-999,-999
53,2010-01-27,pm10,home,48,55,52,57,54,55,60,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,34,51,45,36
54,2010-01-27,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,59,58,71,74,74,89,81,68,56,37,34,-999,-999,-999,-999,-999
55,2010-01-28,pm10,home,45,58,55,45,37,30,19,21,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41,45,37,44,36
56,2010-01-28,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,28,51,70,83,93,89,101,91,77,60,46,-999,-999,-999,-999,-999
57,2010-01-29,pm10,home,41,26,27,22,22,20,18,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,61,47.63333333,54.1,81,85
58,2010-01-29,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,32,36,41,43,52,62,46,46,52,66,54,-999,-999,-999,-999,-999
59,2010-01-30,pm10,home,83,77,66,62,61,65,62,74,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,62,81,83,78
60,2010-01-30,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,72,85,101,98,94,93,103,100,97,86,69,-999,-999,-999,-999,-999
61,2010-01-31,pm10,home,71,72,70,63,67,67,63,67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,151,139,142,143,126
62,2010-01-31,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,66,73,92,108,105,113,119,124,125,130,146,-999,-999,-999,-999,-999
63,2010-02-01,pm10,home,129,127,125,127,137,135,128,130,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,76,81,64,46,37
64,2010-02-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,122,120,129,139,174,155,130,108,78,72,78,-999,-999,-999,-999,-999
65,2010-02-02,pm10,home,32,26,27,24,21,24,15,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,20,31,30,30,33
66,2010-02-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,18,27,34,27,30,28,27,27,35,49,22,-999,-999,-999,-999,-999
67,2010-02-03,pm10,home,41,45,51,46,54,54,41,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,34,51,46,43,44
68,2010-02-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,38,40,44,36,34,37,39,36,43,53,37,-999,-999,-999,-999,-999
69,2010-02-04,pm10,home,46,42,39,50,50,45,42,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45,55,72,66,58
70,2010-02-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,44,44,53,43,44,45,46,41,36,44,39,-999,-999,-999,-999,-999
71,2010-02-05,pm10,home,43,33,26,34,34,35,47,48,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,35,39,33,33
72,2010-02-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,51,52,42,55,46,38,39,30,37,46,33,-999,-999,-999,-999,-999
73,2010-02-06,pm10,home,40,40,45,45,46,43,47,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53,53,48,48,52
74,2010-02-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,48,57,54,63,62,53,45,33,44,61,56,-999,-999,-999,-999,-999
