no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
42,2010-01-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,36,35,34,33,46,41,37,39,40,38,39,-999,-999,-999,-999,-999
43,2010-01-22,pm10,home,29,22,26,21,22,19,30,30,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,42,37,39,37
44,2010-01-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,31,24,30,28,32,35,41,42,36,47,44,-999,-999,-999,-999,-999
45,2010-01-23,pm10,home,26,31,30,33,34,38,41,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,39,37,32,30
46,2010-01-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,43,43,44,51,51,41,42,49,43,41,38,-999,-999,-999,-999,-999
47,2010-01-24,pm10,home,35,28,32,32,39,37,37,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,74,66,69,75,82
48,2010-01-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,43,41,45,54,56,57,47,52,62,73,72,-999,-999,-999,-999,-999
49,2010-01-25,pm10,home,90,96,100,99,104,129,136,140,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,52,57,56,49
50,2010-01-25,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,141,182,232,206,133,82,69,75,74,65,64,-999,-999,-999,-999,-999
51,2010-01-26,pm10,home,50,48,44,39,35,36,32,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,46,35,34,39,37
52,2010-01-26,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,38,46,36,41,49,45,49,49,42,43,45,-999,-999,-999,-999,-999
53,2010-01-27,pm10,home,40,36,35,43,41,49,49,56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52,43,45,53,46
54,2010-01-27,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,61,61,53.66666667,53.88,48.17241379,65,48,49,50,45,-999,-999,-999,-999,-999
55,2010-01-28,pm10,home,57,56,63,60,47,30,27,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,32,26,34,33
56,2010-01-28,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,51,64,78,85,89,78,69,60,40,43,35,-999,-999,-999,-999,-999
57,2010-01-29,pm10,home,30,22,15,22,21,13,24,20,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,53,44.06666667,42.16666667,38.6
58,2010-01-29,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,29,30,33,48.92307692,49,55,34,34,47,49,53,-999,-999,-999,-999,-999
59,2010-01-30,pm10,home,37.93333333,40.43333333,41.26666667,40.66666667,42.3,42.56666667,44.76666667,44.4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45,64,71,71,73
60,2010-01-30,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49.36666667,50.46666667,51.23333333,53.1,76,81,90,90,84,71,57,-999,-999,-999,-999,-999
61,2010-01-31,pm10,home,71,67,70,62,65,60,66,68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,117,111,119,117,122
62,2010-01-31,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,68,79,84,98,109,114,125,117,122,129,125,-999,-999,-999,-999,-999
63,2010-02-01,pm10,home,131,136,137,147,128,135,136,129,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,71,64,48,37,28
64,2010-02-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,125,125,122,125,133,130,125,95,71,64,70,-999,-999,-999,-999,-999
65,2010-02-02,pm10,home,26,22,27,22,19,16,11,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,18,22,25,26,28
66,2010-02-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,16,19,24,18,22,22,22,19,23,28,23,-999,-999,-999,-999,-999
67,2010-02-03,pm10,home,33,36,37,38,37,40,42,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,34,30,37,28
68,2010-02-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,31,30,23,29,26,26,24,29,35,35,33,-999,-999,-999,-999,-999
69,2010-02-04,pm10,home,33,35,38,40,36,33,38,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41,51,59,51,41
70,2010-02-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,46,42,33,38,43,34,28,26,37,39,-999,-999,-999,-999,-999
71,2010-02-05,pm10,home,36,22,29,19,34,34,36,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,27,28,31,22
72,2010-02-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,41,42,46,32,39,40,36,35,37,27,-999,-999,-999,-999,-999
73,2010-02-06,pm10,home,29,36,36,34,34,32,33,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43,43,45,46,49
74,2010-02-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,42,51,50,46,30,31,35,39,45,50,-999,-999,-999,-999,-999
75,2010-02-07,pm10,home,45,48,49,55,50,57,49,56,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,47,53,53,48,40
76,2010-02-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,56,61,56,60,66,60,40,25,30,29,44,-999,-999,-999,-999,-999
77,2010-02-08,pm10,home,58,57,57,44,54,46,53,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,50,64,72,75,69
78,2010-02-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,59,56,58,51,72,79.16666667,72.63333333,65,60,49,-999,-999,-999,-999,-999
79,2010-02-09,pm10,home,63,59,72,69,64,63,62,64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,67,67,66,61,53
80,2010-02-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,72,63,68,60,67,68,67,72,38.53333333,41.13333333,80,-999,-999,-999,-999,-999
81,2010-02-10,pm10,home,46,44,44,47,47,48,39,46,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,10,10,9,4,6
82,2010-02-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,32,45.07692308,46.45454545,52.46153846,40,39,24,14,11,11,-999,-999,-999,-999,-999
83,2010-02-11,pm10,home,6,11,6,10,7,10,7,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,8,9,13,10,9
84,2010-02-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,7,9,7,9,8,13,11,13,13,12,13,-999,-999,-999,-999,-999
85,2010-02-12,pm10,home,18,17,15,14,13,11,9,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,40,52,39,42
