no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
42,2010-01-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,38,36,54,49,46,44,52,55,55,55,56,-999,-999,-999,-999,-999
43,2010-01-22,pm10,home,42,39,41,31,33,27,28,25,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49,43,53,57,47
44,2010-01-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,28,31,38,40,39,42,42,36,31,39,45,-999,-999,-999,-999,-999
45,2010-01-23,pm10,home,38,35,37,39,39,44,43,49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58,54,52,49,44
46,2010-01-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,57,57,56,55,56,60,61,47,53,53,62,-999,-999,-999,-999,-999
47,2010-01-24,pm10,home,43,55,54,50,44,38,33,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,93,89,80,74,82
48,2010-01-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,42,42,47,49,57,68,68,58,78,90,95,-999,-999,-999,-999,-999
49,2010-01-25,pm10,home,90,94,106,104,104,118,145,164,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,95,88,81,83,81
50,2010-01-25,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,156,172,269,336,258,162,121,122,114,115,104,-999,-999,-999,-999,-999
51,2010-01-26,pm10,home,84,73,73,73,67,67,68,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,58,64,55,60,64
52,2010-01-26,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,82,89,80,79,72,65,61,55.20689655,53.06896552,61,60,-999,-999,-999,-999,-999
53,2010-01-27,pm10,home,65,67,58,56,60,51,52,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,31,31,40,27,19
54,2010-01-27,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,60,49,54,46,55,53,72,72,55,42,32,-999,-999,-999,-999,-999
55,2010-01-28,pm10,home,26,45,44,33,24,21,19,23,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57,59,37,36,38
56,2010-01-28,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,46,63,69,93,93,81,81,81,85,80,61,-999,-999,-999,-999,-999
57,2010-01-29,pm10,home,39,23,24,22,24,23,29,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,64,85,83,88,84
58,2010-01-29,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,42,37,46,46,50,64,54,47,54,67,63,-999,-999,-999,-999,-999
59,2010-01-30,pm10,home,84,83,78,65,56,59,65,67,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,61,65,75,78,75
60,2010-01-30,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,78,79,91,100,101,105,138,110,99,90,86,-999,-999,-999,-999,-999
61,2010-01-31,pm10,home,76,69,66,60,62,61,64,68,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,148,143,141,128,128
62,2010-01-31,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,72,78,96,111,113,111,115,119,119,113,133,-999,-999,-999,-999,-999
63,2010-02-01,pm10,home,122,113,111,106,99,128,128,128,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,68,88,79,65
64,2010-02-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,131,132,136,128,145,132,114,118,81,72,64,-999,-999,-999,-999,-999
65,2010-02-02,pm10,home,48,34,22,23,24,23,18,15,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,25,20,25,29,33
66,2010-02-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,17,14,19,18,15,16,26,22,26,38,31,-999,-999,-999,-999,-999
67,2010-02-03,pm10,home,37,41,44,44,48,48,51,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35,44,45,41,34
68,2010-02-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,44,33,30,26,23,26,28,36,38,39,37,-999,-999,-999,-999,-999
69,2010-02-04,pm10,home,36,48,53,40,41,41,44,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49,61,68,64,49
70,2010-02-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,50,48,45,49,53,47,44,38,40,35,40,-999,-999,-999,-999,-999
71,2010-02-05,pm10,home,45,28,24,28,31,36,38,47,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32,36,32,28,34
72,2010-02-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,45,42,37,37,43,41,35,30,28,31,33,-999,-999,-999,-999,-999
73,2010-02-06,pm10,home,39,42,43,46,43,46,42,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,54,65,59,68,65
74,2010-02-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,53,57,51,51,66,65,61,60,47,60,66,-999,-999,-999,-999,-999
