no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2010-01-01,pm10,home,17,34,27,25,32,22,31,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,46,42,39,37
2,2010-01-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,38,35,35,32,38,36,35,54,49,38,-999,-999,-999,-999,-999
3,2010-01-02,pm10,home,45,47,40,49,42,44,43,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,70,68,71,63,47
4,2010-01-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,35,44,48,47,52,40,53,64,54,70,85,-999,-999,-999,-999,-999
5,2010-01-03,pm10,home,51,63,35,37,59,50,29,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52,57,49,65,44
6,2010-01-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,31,43,28,40,35,48,36,43,44,51,37,-999,-999,-999,-999,-999
7,2010-01-04,pm10,home,50,56,50,46,48,61,56,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,41,61,47,55,46
8,2010-01-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,35,34,34,29,94.2,85.53333333,31,37,35,24,19,-999,-999,-999,-999,-999
9,2010-01-05,pm10,home,46,55,55,52,57,59,61,63,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,33,48,32,17
10,2010-01-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,60,55,58,58,38,46,53,52,46,44,43,-999,-999,-999,-999,-999
11,2010-01-06,pm10,home,23,24,22,31,15,26,30,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,28,41,38,35
12,2010-01-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,36,41,35,27,42,48,31,38,41,42,49,-999,-999,-999,-999,-999
13,2010-01-07,pm10,home,35,29,38,41,42,33,61,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,66,59,67,66,73
14,2010-01-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,88,80,81,64,70,72,75,80,70,71,54,-999,-999,-999,-999,-999
15,2010-01-08,pm10,home,61,77,86,77,80,88,107,88,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55,74,60,51,66
16,2010-01-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,96,108,103,87,99,59,76,74,66,72,60,-999,-999,-999,-999,-999
17,2010-01-09,pm10,home,68,94,67,73,89,76,75,79,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,81,66,74,78,83
18,2010-01-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,81,78,85,70,95,89,77,69,82,78,79,-999,-999,-999,-999,-999
19,2010-01-10,pm10,home,82,91,63,59,54,82,73,47.08695652,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,75,82,80,63,80
20,2010-01-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,78,51,44,54,51,57,70,90,103,77,82,-999,-999,-999,-999,-999
21,2010-01-11,pm10,home,72,71,68,52,62,61,73,89,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,85,65,66,59,54
22,2010-01-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,93,95,120,115,77,69,82,81,66,69,82,-999,-999,-999,-999,-999
23,2010-01-12,pm10,home,38,26,45,36,41,30,35,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,27,42,28,28
24,2010-01-12,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,30,37,38,28,29,28,33,30,44,30,43,-999,-999,-999,-999,-999
25,2010-01-13,pm10,home,30,18,28,32,29,42,27,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,32,27,46,35
26,2010-01-13,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,34,35,46,36,24,33,16,23,31,35,34,-999,-999,-999,-999,-999
27,2010-01-14,pm10,home,28,35,34,32,36,37,34,40,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,52,49,54,51,54
28,2010-01-14,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,53,55,54,55,35,37,38,59,47,53,56,-999,-999,-999,-999,-999
29,2010-01-15,pm10,home,48,41,44,38,51,45,51,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,64,67,59,65,52
30,2010-01-15,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,58,51,55,79,74,67,81,69,66,63,78,-999,-999,-999,-999,-999
31,2010-01-16,pm10,home,68,47,42,54,44,49,49,75,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,55,38,36,35,47
32,2010-01-16,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,66,89,102,65,49,61,61,54,48,53,51,-999,-999,-999,-999,-999
33,2010-01-17,pm10,home,44,56,58,58,56,56,64,62,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,65,62,58,58,61
34,2010-01-17,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,69,71,59,65,80,45,55,63,47,47,57,-999,-999,-999,-999,-999
35,2010-01-18,pm10,home,77,56,63,56,48,62,60,57,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,98,90,100,99,99
36,2010-01-18,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,70,76,97,89,97,105,103,97,95,97,92,-999,-999,-999,-999,-999
37,2010-01-19,pm10,home,102,93,87,87,93,90,93,95,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,94,89,86,76,67
38,2010-01-19,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,83,86,91,85,44.77777778,87,106,101,104,90,85,-999,-999,-999,-999,-999
39,2010-01-20,pm10,home,71,81,87,69,61,73,81,78,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,36,51,58,48,35
40,2010-01-20,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,80,77,72,87,82,76,69,84,49,40,28,-999,-999,-999,-999,-999
41,2010-01-21,pm10,home,31,46,33,50,44,31,40,33,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45,45,39,33,41
42,2010-01-21,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,32,37,49,38,51,46,49,41,46,44,-999,-999,-999,-999,-999
43,2010-01-22,pm10,home,24,32,39,23,20,20,26,28,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,45,45,41,43,36
44,2010-01-22,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,29,34,40,29,43,35,42,40,51,54,44,-999,-999,-999,-999,-999
45,2010-01-23,pm10,home,35,31,23,43,39,35,33,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,43,37,39,41
46,2010-01-23,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,47,40,55,37,54,54,47,44,43,54,64,-999,-999,-999,-999,-999
47,2010-01-24,pm10,home,44,33,44,44,36,45,42,31,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,85,81,75,67,79
48,2010-01-24,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,41,60,45,60,62,72,69,59,60,76,74,-999,-999,-999,-999,-999
49,2010-01-25,pm10,home,84,100,110,104,99,123,140,139,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,56,54,66,61,58
50,2010-01-25,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,148,191,262,225,143,92,88,78,85,87,76,-999,-999,-999,-999,-999
51,2010-01-26,pm10,home,51,49,53,50,33,38,58,58,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,39,45,41,36,49
52,2010-01-26,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,58,57,45,66,62,47,53,69,58,46,52,-999,-999,-999,-999,-999
53,2010-01-27,pm10,home,62,66,57,56,49,58,52,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,47,37,40,56
54,2010-01-27,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,76,58,63,66,77,69,93,78,71,53,47,-999,-999,-999,-999,-999
55,2010-01-28,pm10,home,51,68,71,61,46,42,38,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,48,43,37,33,46
56,2010-01-28,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,59,70,88,89,85,86,73,65,63,49,41,-999,-999,-999,-999,-999
57,2010-01-29,pm10,home,34,28,29,20,22,18,29,32,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,73,72,73,76,86
58,2010-01-29,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,42,43,49,54,60,56,46,58,67,46,-999,-999,-999,-999,-999
59,2010-01-30,pm10,home,68,84,68,72,47,55,49,71,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,49,48,56,65,78
60,2010-01-30,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,80,73,85,87,91,89,94,107,82,84,55,-999,-999,-999,-999,-999
61,2010-01-31,pm10,home,74,68,61,71,63,74,72,77,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,126,122,130,115,125
62,2010-01-31,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,79,73,85,100,105,129,124,135,139,123,126,-999,-999,-999,-999,-999
63,2010-02-01,pm10,home,121,113,125,125,116,118,122,123,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,84,82,47,57,38
64,2010-02-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,134,148,138,119,123,127,124,93,79,65,72,-999,-999,-999,-999,-999
65,2010-02-02,pm10,home,26,29,22,14,15,21,16,18,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,24,20,19,30,45
66,2010-02-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,18,14,20,36,26,29,25,19,45,35,23,-999,-999,-999,-999,-999
67,2010-02-03,pm10,home,40,33,44,34,47,43,41,37,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40,40,34,34,25
68,2010-02-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,30,44,26,33,28,54.53333333,22,42,38,28,43,-999,-999,-999,-999,-999
69,2010-02-04,pm10,home,24,35,48,41,33,48,37,34,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,53,56,62,45,35
70,2010-02-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,48,38,39,37,48,36,34,34,35,42,42,-999,-999,-999,-999,-999
71,2010-02-05,pm10,home,38,22,29,30,40,32,38,41,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,42,47,42,24,27
72,2010-02-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,40,22,39,35,44,30,34,27,33,30,42,-999,-999,-999,-999,-999
73,2010-02-06,pm10,home,36,33,38,29,27,35,38,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,57,48,43,51,47
74,2010-02-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,37,39,46,82,59,56,55,46,43,52,58,-999,-999,-999,-999,-999
75,2010-02-07,pm10,home,55,57,61,50,66,64,54,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,62,43,71,57,68
76,2010-02-07,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,57,52,49,56,54,51,62,35,17,27,53,-999,-999,-999,-999,-999
77,2010-02-08,pm10,home,58,49,50,52,46,54,49,59,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,77,93,67,70,75
78,2010-02-08,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,56,65,54,67,68,65,46,54,50,49,77,-999,-999,-999,-999,-999
79,2010-02-09,pm10,home,70,81,69,73,67,71,56,69,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,71,56,52,39,33
80,2010-02-09,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,70,57,61,93,87,84,67,87,90,57,56,-999,-999,-999,-999,-999
81,2010-02-10,pm10,home,51,35,37,35,32,34,37,49,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,22,11,19,17
82,2010-02-10,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,49,53,32,36,43,34,42,31,29,32,19,-999,-999,-999,-999,-999
83,2010-02-11,pm10,home,13,8,7,12,8,13,13,16,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,17,14,11,13,19
84,2010-02-11,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,9,13,24,8,23,17,28,20,35,11,18,-999,-999,-999,-999,-999
85,2010-02-12,pm10,home,20,12,17,19,18,18,14,14,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27,23,35,42,27
