no,date,type,work,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
1,2010-01-01,pm10,home,28,26,29,32,29,31,33,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,33,34,43,40,42
2,2010-01-01,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,37,31,40,38,38,45,37,38,40,37,30,-999,-999,-999,-999,-999
3,2010-01-02,pm10,home,36,37,41,39,37,37,34,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,85,74,67,65,59
4,2010-01-02,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,37,40,43,42,49,43,61,66,62,77,-999,-999,-999,-999,-999
5,2010-01-03,pm10,home,60,57,54,51,47,43,42,39,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,38,62,62,58,59
6,2010-01-03,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,39,37,55,41,48,46,52,53,61,52,46,-999,-999,-999,-999,-999
7,2010-01-04,pm10,home,60,55,55,50,46,47,35,36,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,29,41,62,49,44
8,2010-01-04,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,24,20,29,29,27,30,32,34,31,21,20,-999,-999,-999,-999,-999
9,2010-01-05,pm10,home,40,49,54,57,60,60,64,60,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,27,27,32,28,30
10,2010-01-05,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,62,62,49,63,57,44,63,62,46,42,32,-999,-999,-999,-999,-999
11,2010-01-06,pm10,home,28,25,27,28,30,23,36,43,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,30,33,38,34,37
12,2010-01-06,pm10,work,-999,-999,-999,-999,-999,-999,-999,-999,45,27,33,37,42,39,46,35,34,30,26,-999,-999,-999,-999,-999
